0; 13289; 1; 109; 0; 5; 1.99259; 5; 104.484; 0.00585511
1; 13164; 0.999943; 21; 1; 4; 7.73105; 8; 3.18633; 0.010915
2; 10020; 0.996782; 144; 2; 3; 9.05654; 8; 11.3424; 0.0145787
3; 811; 0.832149; 79; 2; 2; 8.46128; 9; 7.38144; 0.044901
4; 96; 0.779798; 103; 1; 3; 1.8396; 8; 2.62963; 0.0252417
5; 70; 0.827362; 107; 2; 4; 9.00124; 9; 23; 0.00291607
6; 68; 0.830312; 121; 0; 0; 4.25457; 7; 3.66667; 0.0723373
7; 14; 0.662276; 48; 2; 5; 7.47754; 8; 1.66667; 0.0634914
8; 9; 0.707607; -1; -1; -1; -1; -1; -1; -1
8; 5; 0.402905; -1; -1; -1; -1; -1; -1; -1
7; 54; 0.782786; 65; 2; 0; 8.7031; 9; 6; 0.0873495
8; 7; 0.768079; -1; -1; -1; -1; -1; -1; -1
8; 47; 0.684617; 1; 2; 4; 7.7889; 8; 7.16667; 0.178358
9; 5; 0; -1; -1; -1; -1; -1; -1; -1
9; 42; 0.566528; 79; 0; 3; 8.4828; 9; 1.93333; 0.0398232
10; 28; 0.505076; 83; 1; 3; 7.24755; 9; 1.30769; 0.117968
11; 12; 0.712024; 10; 2; 3; 2.67849; 7; 6; 0.0495567
12; 1; 0; -1; -1; -1; -1; -1; -1; -1
12; 11; 0.722692; 20; 2; 5; 7.47364; 6; 5.5; 0.154534
13; 10; 0.624974; 5; 2; 3; 5.99263; 9; 1.4; 0.103929
14; 4; 0.465734; -1; -1; -1; -1; -1; -1; -1
14; 6; 0.55792; -1; -1; -1; -1; -1; -1; -1
13; 1; 0; -1; -1; -1; -1; -1; -1; -1
11; 16; 0.143421; 86; 0; 0; 6.22276; 7; 8; 0.143421
12; 15; 0; -1; -1; -1; -1; -1; -1; -1
12; 1; 0; -1; -1; -1; -1; -1; -1; -1
10; 14; 0.569962; 62; 0; 0; 7.67609; 6; 1.66667; 0.269265
