id,depth,n_node_samples,impurity,value
0,0,13412,0.999991,"[2688,2651,2693,2691,2689]"
1,1,13271,0.999934,"[2611,2593,2689,2689,2689]"
2,2,8096,0.869166,"[2398,167,2673,212,2646]"
3,3,4991,0.861347,"[1365,111,1378,150,1987]"
4,4,4142,0.82384,"[745,50,1320,149,1878]"
5,5,3372,0.761109,"[373,38,1031,134,1796]"
6,6,3299,0.755152,"[346,34,1015,132,1772]"
7,7,2956,0.713941,"[221,17,908,119,1691]"
8,8,2260,0.589556,"[87,12,481,116,1564]"
9,9,1816,0.32607,"[74,12,60,116,1554]"
10,10,1743,0.285919,"[47,12,44,115,1525]"
11,11,558,0.38512,"[10,2,9,80,457]"
12,12,326,0.47172,"[6,1,6,64,249]"
13,13,128,0.606995,"[1,1,1,45,80]"
14,14,16,0.283203,"[0,1,0,1,14]"
15,15,15,0.155555,"[0,1,0,0,14]"
16,16,7,0,"[0,0,0,0,7]"
17,16,8,0.273438,"[0,1,0,0,7]"
18,15,1,0,"[0,0,0,1,0]"
19,14,112,0.622808,"[1,0,1,44,66]"
20,15,95,0.635457,"[0,0,1,44,50]"
21,16,9,0,"[0,0,0,0,9]"
22,16,86,0.638521,"[0,0,1,44,41]"
23,17,10,0.4,"[0,0,0,2,8]"
24,17,76,0.632358,"[0,0,1,42,33]"
25,18,20,0.23125,"[0,0,1,1,18]"
26,19,12,0,"[0,0,0,0,12]"
27,19,8,0.507812,"[0,0,1,1,6]"
28,18,56,0.490274,"[0,0,0,41,15]"
29,19,28,0.0860969,"[0,0,0,27,1]"
30,20,10,0,"[0,0,0,10,0]"
31,20,18,0.131173,"[0,0,0,17,1]"
32,21,5,0.4,"[0,0,0,4,1]"
33,21,13,0,"[0,0,0,13,0]"
34,19,28,0.625,"[0,0,0,14,14]"
35,20,19,0.609418,"[0,0,0,8,11]"
36,21,10,0.6,"[0,0,0,6,4]"
37,21,9,0.432099,"[0,0,0,2,7]"
38,20,9,0.555556,"[0,0,0,6,3]"
39,15,17,0.138408,"[1,0,0,0,16]"
40,16,11,0,"[0,0,0,0,11]"
41,16,6,0.347222,"[1,0,0,0,5]"
42,13,198,0.326242,"[5,0,5,19,169]"
43,14,174,0.28364,"[3,0,2,17,152]"
44,15,75,0.535556,"[3,0,1,17,54]"
45,16,16,0.615234,"[0,0,0,7,9]"
46,17,1,0,"[0,0,0,1,0]"
47,17,15,0.6,"[0,0,0,6,9]"
48,18,5,0.4,"[0,0,0,4,1]"
49,18,10,0.4,"[0,0,0,2,8]"
50,16,59,0.483338,"[3,0,1,10,45]"
51,17,55,0.408265,"[1,0,0,10,44]"
52,18,20,0.56875,"[0,0,0,7,13]"
53,19,9,0,"[0,0,0,0,9]"
54,19,11,0.578512,"[0,0,0,7,4]"
55,20,10,0.525,"[0,0,0,7,3]"
56,20,1,0,"[0,0,0,0,1]"
57,18,35,0.259184,"[1,0,0,3,31]"
58,19,18,0.455247,"[1,0,0,3,14]"
59,20,12,0.190972,"[1,0,0,0,11]"
60,21,3,0.555556,"[1,0,0,0,2]"
61,21,9,0,"[0,0,0,0,9]"
62,20,6,0.625,"[0,0,0,3,3]"
63,19,17,0,"[0,0,0,0,17]"
64,17,4,0.78125,"[2,0,1,0,1]"
65,15,99,0.0249975,"[0,0,1,0,98]"
66,16,42,0.0581065,"[0,0,1,0,41]"
67,17,34,0,"[0,0,0,0,34]"
68,17,8,0.273438,"[0,0,1,0,7]"
69,16,57,0,"[0,0,0,0,57]"
70,14,24,0.585937,"[2,0,3,2,17]"
71,15,12,0.729167,"[1,0,3,1,7]"
72,16,3,0,"[0,0,0,0,3]"
73,16,9,0.833333,"[1,0,3,1,4]"
74,15,12,0.364583,"[1,0,0,1,10]"
75,16,5,0,"[0,0,0,0,5]"
76,16,7,0.561225,"[1,0,0,1,5]"
77,12,232,0.238695,"[4,1,3,16,208]"
78,13,23,0.723062,"[1,1,0,10,11]"
79,14,17,0.700692,"[1,1,0,5,10]"
80,15,10,0.725,"[0,1,0,5,4]"
81,15,7,0.306122,"[1,0,0,0,6]"
82,14,6,0.347222,"[0,0,0,5,1]"
83,13,209,0.137875,"[3,0,3,6,197]"
84,14,179,0.0950346,"[2,0,1,4,172]"
85,15,27,0.390947,"[1,0,0,4,22]"
86,16,2,0,"[0,0,0,2,0]"
87,16,25,0.272,"[1,0,0,2,22]"
88,17,22,0.211777,"[1,0,0,1,20]"
89,18,9,0,"[0,0,0,0,9]"
90,18,13,0.340237,"[1,0,0,1,11]"
91,19,5,0.7,"[1,0,0,1,3]"
92,19,8,0,"[0,0,0,0,8]"
93,17,3,0.555556,"[0,0,0,1,2]"
94,15,152,0.0325701,"[1,0,1,0,150]"
95,16,129,0.0192296,"[0,0,1,0,128]"
96,17,30,0.0805555,"[0,0,1,0,29]"
97,18,2,0.625,"[0,0,1,0,1]"
98,18,28,0,"[0,0,0,0,28]"
99,17,99,0,"[0,0,0,0,99]"
100,16,23,0.10397,"[1,0,0,0,22]"
101,17,12,0,"[0,0,0,0,12]"
102,17,11,0.206611,"[1,0,0,0,10]"
103,18,9,0,"[0,0,0,0,9]"
104,18,2,0.625,"[1,0,0,0,1]"
105,14,30,0.369444,"[1,0,2,2,25]"
106,15,28,0.245536,"[1,0,0,2,25]"
107,16,10,0,"[0,0,0,0,10]"
108,16,18,0.362654,"[1,0,0,2,15]"
109,17,8,0.273438,"[1,0,0,0,7]"
110,17,10,0.4,"[0,0,0,2,8]"
111,15,2,0,"[0,0,2,0,0]"
112,11,1185,0.231161,"[37,10,35,35,1068]"
113,12,21,0.776644,"[2,1,3,3,12]"
114,13,20,0.74375,"[2,1,3,2,12]"
115,14,16,0.615234,"[2,1,0,2,11]"
116,15,3,0.555556,"[2,0,0,0,1]"
117,15,13,0.473373,"[0,1,0,2,10]"
118,16,2,0.625,"[0,1,0,1,0]"
119,16,11,0.206611,"[0,0,0,1,10]"
120,17,3,0.555556,"[0,0,0,1,2]"
121,17,8,0,"[0,0,0,0,8]"
122,14,4,0.46875,"[0,0,3,0,1]"
123,13,1,0,"[0,0,0,1,0]"
124,12,1164,0.218103,"[35,9,32,32,1056]"
125,13,1159,0.211369,"[35,9,28,32,1055]"
126,14,1150,0.19751,"[28,9,27,32,1054]"
127,15,1149,0.195728,"[28,9,26,32,1054]"
128,16,1030,0.168981,"[16,6,21,30,957]"
129,17,971,0.176416,"[16,6,21,29,899]"
130,18,969,0.174427,"[16,6,20,29,898]"
131,19,25,0.576,"[0,0,0,9,16]"
132,20,10,0,"[0,0,0,0,10]"
133,20,15,0.6,"[0,0,0,9,6]"
134,21,1,0,"[0,0,0,0,1]"
135,21,14,0.573979,"[0,0,0,9,5]"
136,22,2,0,"[0,0,0,2,0]"
137,22,12,0.607639,"[0,0,0,7,5]"
138,23,4,0,"[0,0,0,0,4]"
139,23,8,0.273438,"[0,0,0,7,1]"
140,19,944,0.157271,"[16,6,20,20,882]"
141,20,918,0.14651,"[15,5,16,20,862]"
142,21,890,0.135276,"[12,3,15,20,840]"
143,22,850,0.108363,"[8,3,7,20,812]"
144,23,847,0.10594,"[7,3,7,20,810]"
145,24,846,0.103257,"[7,3,6,20,810]"
146,25,3,0.555556,"[0,0,0,1,2]"
