id,depth,n_node_samples,impurity,value
0,0,13371,0.999976,"[2684,2685,2623,2681,2698]"
1,1,8927,0.99117,"[1320,1761,1529,2187,2130]"
2,2,8872,0.990225,"[1267,1761,1527,2187,2130]"
3,3,1088,0.951513,"[214,137,351,92,294]"
4,4,733,0.961275,"[151,88,190,77,227]"
5,5,188,0.862806,"[35,16,91,15,31]"
6,6,173,0.838652,"[24,16,89,14,30]"
7,7,1,0,"[0,0,0,0,1]"
8,7,172,0.836347,"[24,16,89,14,29]"
9,8,128,0.800171,"[11,9,70,13,25]"
10,9,106,0.882876,"[11,9,48,13,25]"
11,10,99,0.843536,"[5,8,48,13,25]"
12,11,43,0.807193,"[0,6,3,13,21]"
13,12,38,0.713296,"[0,3,1,13,21]"
14,13,15,0.422222,"[0,2,0,12,1]"
15,14,11,0.206611,"[0,0,0,10,1]"
16,15,5,0,"[0,0,0,5,0]"
17,15,6,0.347222,"[0,0,0,5,1]"
18,14,4,0.625,"[0,2,0,2,0]"
19,13,23,0.297731,"[0,1,1,1,20]"
20,14,22,0.211777,"[0,0,1,1,20]"
21,15,21,0.113379,"[0,0,0,1,20]"
22,16,2,0.625,"[0,0,0,1,1]"
23,16,19,0,"[0,0,0,0,19]"
24,15,1,0,"[0,0,1,0,0]"
25,14,1,0,"[0,1,0,0,0]"
26,12,5,0.6,"[0,3,2,0,0]"
27,11,56,0.424904,"[5,2,45,0,4]"
28,12,3,0.833333,"[1,1,0,0,1]"
29,12,53,0.337309,"[4,1,45,0,3]"
30,13,1,0,"[1,0,0,0,0]"
31,13,52,0.305103,"[3,1,45,0,3]"
32,14,15,0.722222,"[2,1,9,0,3]"
33,15,8,0.46875,"[2,0,6,0,0]"
34,15,7,0.765306,"[0,1,3,0,3]"
35,14,37,0.0657414,"[1,0,36,0,0]"
36,15,1,0,"[1,0,0,0,0]"
37,15,36,0,"[0,0,36,0,0]"
38,10,7,0.306122,"[6,1,0,0,0]"
39,9,22,0,"[0,0,22,0,0]"
40,8,44,0.865186,"[13,7,19,1,4]"
41,9,31,0.798647,"[4,5,17,1,4]"
42,10,20,0.33125,"[2,0,17,0,1]"
43,11,19,0.242382,"[1,0,17,0,1]"
44,12,8,0,"[0,0,8,0,0]"
45,12,11,0.392562,"[1,0,9,0,1]"
46,13,1,0,"[1,0,0,0,0]"
47,13,10,0.225,"[0,0,9,0,1]"
48,11,1,0,"[1,0,0,0,0]"
49,10,11,0.847107,"[2,5,0,1,3]"
