id,depth,n_node_samples,impurity,value
0,0,13310,0.999978,"[2638,2635,2673,2703,2661]"
1,1,12203,0.998918,"[2211,2286,2531,2610,2565]"
2,2,5924,0.975725,"[1113,1194,727,1852,1038]"
3,3,5731,0.972024,"[931,1185,725,1852,1038]"
4,4,4763,0.987088,"[805,1000,696,1332,930]"
5,5,1413,0.931815,"[545,343,154,208,163]"
6,6,551,0.67928,"[356,88,47,38,22]"
7,7,439,0.714076,"[273,68,43,35,20]"
8,8,228,0.883926,"[99,61,18,33,17]"
9,9,214,0.898932,"[88,59,18,32,17]"
10,10,163,0.924386,"[58,50,15,24,16]"
11,11,111,0.944728,"[42,18,14,23,14]"
12,12,31,0.629553,"[21,1,5,1,3]"
13,13,5,0,"[5,0,0,0,0]"
14,13,26,0.710059,"[16,1,5,1,3]"
15,14,9,0.925926,"[3,1,1,1,3]"
16,14,17,0.449827,"[13,0,4,0,0]"
17,15,4,0,"[4,0,0,0,0]"
18,15,13,0.532544,"[9,0,4,0,0]"
19,16,12,0.46875,"[9,0,3,0,0]"
20,17,8,0.273438,"[7,0,1,0,0]"
21,17,4,0.625,"[2,0,2,0,0]"
22,16,1,0,"[0,0,1,0,0]"
23,12,80,0.973437,"[21,17,9,22,11]"
24,13,10,0.825,"[2,5,2,0,1]"
25,13,70,0.959694,"[19,12,7,22,10]"
26,14,52,0.969859,"[17,10,6,10,9]"
27,15,11,0.950413,"[2,1,4,2,2]"
28,16,1,0,"[1,0,0,0,0]"
29,16,10,0.925,"[1,1,4,2,2]"
30,15,41,0.935455,"[15,9,2,8,7]"
31,16,37,0.958729,"[11,9,2,8,7]"
32,17,6,0.625,"[4,0,0,1,1]"
33,17,31,0.96514,"[7,9,2,7,6]"
34,18,29,0.972057,"[7,7,2,7,6]"
35,19,25,0.964,"[7,7,2,4,5]"
36,20,3,0,"[0,3,0,0,0]"
37,20,22,0.965909,"[7,4,2,4,5]"
38,21,11,0.929752,"[1,4,1,3,2]"
39,22,2,0.625,"[1,0,1,0,0]"
40,22,9,0.802469,"[0,4,0,3,2]"
41,21,11,0.764463,"[6,0,1,1,3]"
42,22,9,0.617284,"[6,0,0,1,2]"
43,22,2,0.625,"[0,0,1,0,1]"
44,19,4,0.46875,"[0,0,0,3,1]"
45,18,2,0,"[0,2,0,0,0]"
46,16,4,0,"[4,0,0,0,0]"
47,14,18,0.655864,"[2,2,1,12,1]"
48,15,12,0.850694,"[2,2,1,6,1]"
49,16,10,0.75,"[1,1,1,6,1]"
50,16,2,0.625,"[1,1,0,0,0]"
51,15,6,0,"[0,0,0,6,0]"
52,11,52,0.65551,"[16,32,1,1,2]"
53,12,45,0.702469,"[16,25,1,1,2]"
54,13,22,0.72314,"[11,9,0,1,1]"
55,14,3,0,"[3,0,0,0,0]"
