id,depth,n_node_samples,impurity,value
0,0,13346,0.999984,"[2705,2661,2661,2641,2678]"
1,1,5573,0.964482,"[970,1352,363,1552,1336]"
2,2,3581,0.931768,"[370,615,300,1257,1039]"
3,3,2964,0.923754,"[296,521,228,1102,817]"
4,4,2436,0.867093,"[66,431,167,1008,764]"
5,5,2133,0.827055,"[33,407,68,967,658]"
6,6,2088,0.818894,"[20,398,63,961,646]"
7,7,1794,0.78642,"[15,395,38,928,418]"
8,8,184,0.793286,"[6,20,10,53,95]"
9,9,68,0.762868,"[0,19,1,36,12]"
10,10,56,0.589126,"[0,19,0,36,1]"
11,11,25,0.6,"[0,15,0,10,0]"
12,12,13,0.591716,"[0,5,0,8,0]"
13,13,7,0.612245,"[0,4,0,3,0]"
14,13,6,0.347222,"[0,1,0,5,0]"
15,12,12,0.347222,"[0,10,0,2,0]"
16,13,6,0.555556,"[0,4,0,2,0]"
17,13,6,0,"[0,6,0,0,0]"
18,11,31,0.348595,"[0,4,0,26,1]"
19,12,5,0.4,"[0,4,0,1,0]"
20,12,26,0.0924556,"[0,0,0,25,1]"
21,13,25,0,"[0,0,0,25,0]"
22,13,1,0,"[0,0,0,0,1]"
23,10,12,0.190972,"[0,0,1,0,11]"
24,11,11,0,"[0,0,0,0,11]"
25,11,1,0,"[0,0,1,0,0]"
26,9,116,0.572235,"[6,1,9,17,83]"
27,10,114,0.550169,"[4,1,9,17,83]"
28,11,1,0,"[0,0,0,1,0]"
29,11,113,0.540959,"[4,1,9,16,83]"
30,12,103,0.438543,"[4,1,5,11,82]"
31,13,1,0,"[0,0,0,1,0]"
32,13,102,0.425077,"[4,1,5,10,82]"
33,14,17,0.735294,"[1,0,1,6,9]"
34,15,8,0.742188,"[0,0,1,4,3]"
35,15,9,0.617284,"[1,0,0,2,6]"
36,14,85,0.320761,"[3,1,4,4,73]"
37,15,81,0.230529,"[1,1,2,4,73]"
38,16,80,0.205078,"[0,1,2,4,73]"
39,17,79,0.179058,"[0,1,1,4,73]"
40,18,77,0.124389,"[0,0,1,3,73]"
41,19,49,0.0499791,"[0,0,1,0,48]"
42,20,34,0,"[0,0,0,0,34]"
43,20,15,0.155555,"[0,0,1,0,14]"
44,21,14,0,"[0,0,0,0,14]"
45,21,1,0,"[0,0,1,0,0]"
46,19,28,0.239158,"[0,0,0,3,25]"
47,20,2,0.625,"[0,0,0,1,1]"
48,20,26,0.177515,"[0,0,0,2,24]"
49,21,16,0,"[0,0,0,0,16]"
50,21,10,0.4,"[0,0,0,2,8]"
51,18,2,0.625,"[0,1,0,1,0]"
52,17,1,0,"[0,0,1,0,0]"
53,16,1,0,"[1,0,0,0,0]"
54,15,4,0.625,"[2,0,2,0,0]"
55,12,10,0.725,"[0,0,4,5,1]"
56,10,2,0,"[2,0,0,0,0]"
57,8,1610,0.762247,"[9,375,28,875,323]"
58,9,1311,0.740007,"[5,303,17,741,245]"
59,10,1082,0.618201,"[0,300,9,705,68]"
60,11,70,0.744898,"[0,33,1,29,7]"
61,12,15,0.788889,"[0,8,1,3,3]"
62,13,8,0.507812,"[0,6,1,1,0]"
63,13,7,0.816326,"[0,2,0,2,3]"
