id,depth,n_node_samples,impurity,value
0,0,13235,0.999973,"[2654,2600,2674,2634,2673]"
1,1,13129,0.999921,"[2550,2600,2672,2634,2673]"
2,2,11716,0.99699,"[1987,2076,2578,2509,2566]"
3,3,2363,0.949126,"[591,324,777,161,510]"
4,4,1739,0.9755,"[428,323,350,160,478]"
5,5,1423,0.967335,"[218,289,290,160,466]"
6,6,976,0.968114,"[113,277,160,146,280]"
7,7,428,0.797067,"[13,217,11,121,66]"
8,8,318,0.805027,"[5,151,8,102,52]"
9,9,209,0.653316,"[1,118,1,83,6]"
10,10,92,0.393431,"[0,74,0,18,0]"
11,11,23,0,"[0,23,0,0,0]"
12,11,69,0.482042,"[0,51,0,18,0]"
13,12,65,0.500592,"[0,47,0,18,0]"
14,13,46,0.567108,"[0,30,0,16,0]"
15,14,34,0.61635,"[0,19,0,15,0]"
16,15,14,0,"[0,0,0,14,0]"
17,15,20,0.11875,"[0,19,0,1,0]"
18,16,4,0.46875,"[0,3,0,1,0]"
19,16,16,0,"[0,16,0,0,0]"
20,14,12,0.190972,"[0,11,0,1,0]"
21,15,9,0,"[0,9,0,0,0]"
22,15,3,0.555556,"[0,2,0,1,0]"
23,13,19,0.235457,"[0,17,0,2,0]"
24,14,9,0.432099,"[0,7,0,2,0]"
25,14,10,0,"[0,10,0,0,0]"
26,12,4,0,"[0,4,0,0,0]"
27,10,117,0.683943,"[1,44,1,65,6]"
28,11,99,0.633099,"[1,29,1,63,5]"
29,12,88,0.60563,"[1,22,1,59,5]"
30,13,27,0.325789,"[0,3,0,23,1]"
31,14,17,0.138408,"[0,1,0,16,0]"
32,15,8,0,"[0,0,0,8,0]"
33,15,9,0.246914,"[0,1,0,8,0]"
34,14,10,0.575,"[0,2,0,7,1]"
35,13,61,0.687315,"[1,19,1,36,4]"
36,14,18,0.779321,"[0,8,0,7,3]"
37,15,9,0.740741,"[0,5,0,2,2]"
38,15,9,0.709876,"[0,3,0,5,1]"
39,14,43,0.59762,"[1,11,1,29,1]"
40,15,2,0.625,"[0,1,0,0,1]"
41,15,41,0.548781,"[1,10,1,29,0]"
42,16,8,0,"[0,8,0,0,0]"
43,16,33,0.277778,"[1,2,1,29,0]"
44,17,32,0.217285,"[0,2,1,29,0]"
45,18,31,0.150885,"[0,2,0,29,0]"
46,19,26,0,"[0,0,0,26,0]"
47,19,5,0.6,"[0,2,0,3,0]"
48,18,1,0,"[0,0,1,0,0]"
49,17,1,0,"[1,0,0,0,0]"
50,12,11,0.578512,"[0,7,0,4,0]"
51,13,4,0,"[0,0,0,4,0]"
52,13,7,0,"[0,7,0,0,0]"
53,11,18,0.362654,"[0,15,0,2,1]"
54,12,10,0.575,"[0,7,0,2,1]"
55,12,8,0,"[0,8,0,0,0]"
56,9,109,0.867983,"[4,33,7,19,46]"
57,10,77,0.785124,"[4,14,2,15,42]"
58,11,26,0.625,"[0,13,0,13,0]"
59,12,5,0,"[0,5,0,0,0]"
60,12,21,0.589569,"[0,8,0,13,0]"
61,13,4,0,"[0,4,0,0,0]"
62,13,17,0.449827,"[0,4,0,13,0]"
63,14,10,0.225,"[0,1,0,9,0]"
64,14,7,0.612245,"[0,3,0,4,0]"
65,11,51,0.390235,"[4,1,2,2,42]"
66,12,47,0.337257,"[2,1,2,2,40]"
67,13,44,0.213068,"[1,0,1,2,40]"
68,14,14,0,"[0,0,0,0,14]"
69,14,30,0.302778,"[1,0,1,2,26]"
70,15,24,0.195312,"[1,0,1,0,22]"
71,16,3,0.555556,"[1,0,0,0,2]"
72,16,21,0.113379,"[0,0,1,0,20]"
73,17,20,0,"[0,0,0,0,20]"
74,17,1,0,"[0,0,1,0,0]"
75,15,6,0.555556,"[0,0,0,2,4]"
76,13,3,0.833333,"[1,1,1,0,0]"
77,12,4,0.625,"[2,0,0,0,2]"
78,10,32,0.739746,"[0,19,5,4,4]"
79,11,22,0.387397,"[0,18,0,3,1]"
80,12,14,0.548469,"[0,10,0,3,1]"
81,13,8,0.585938,"[0,5,0,3,0]"
82,13,6,0.347222,"[0,5,0,0,1]"
83,12,8,0,"[0,8,0,0,0]"
84,11,10,0.8,"[0,1,5,1,3]"
85,8,110,0.734917,"[8,66,3,19,14]"
86,9,39,0.918803,"[2,13,3,11,10]"
87,10,32,0.910645,"[2,11,2,7,10]"
88,11,16,0.703125,"[2,0,2,2,10]"
89,12,14,0.57398,"[1,0,1,2,10]"
90,13,4,0.78125,"[1,0,0,1,2]"
91,13,10,0.425,"[0,0,1,1,8]"
92,12,2,0.625,"[1,0,1,0,0]"
93,11,16,0.537109,"[0,11,0,5,0]"
94,12,9,0.617284,"[0,4,0,5,0]"
95,12,7,0,"[0,7,0,0,0]"
96,10,7,0.714286,"[0,2,1,4,0]"
97,9,71,0.524697,"[6,53,0,8,4]"
98,10,21,0.901361,"[5,8,0,5,3]"
99,11,19,0.879501,"[5,8,0,3,3]"
100,12,11,0.640496,"[0,7,0,3,1]"
101,13,8,0.742188,"[0,4,0,3,1]"
102,13,3,0,"[0,3,0,0,0]"
103,12,8,0.664062,"[5,1,0,0,2]"
104,11,2,0,"[0,0,0,2,0]"
105,10,50,0.232,"[1,45,0,3,1]"
106,11,41,0.172516,"[0,38,0,2,1]"
107,12,33,0.0734618,"[0,32,0,1,0]"
108,13,32,0,"[0,32,0,0,0]"
109,13,1,0,"[0,0,0,1,0]"
110,12,8,0.507812,"[0,6,0,1,1]"
111,11,9,0.462963,"[1,7,0,1,0]"
112,7,548,0.907755,"[100,60,149,25,214]"
113,8,354,0.76333,"[48,55,20,25,206]"
114,9,237,0.661798,"[27,26,11,16,157]"
115,10,165,0.387144,"[8,0,8,13,136]"
116,11,117,0.292388,"[5,0,3,7,102]"
117,12,26,0.443787,"[0,0,0,6,20]"
118,13,25,0.4,"[0,0,0,5,20]"
119,14,15,0.155555,"[0,0,0,1,14]"
120,15,7,0,"[0,0,0,0,7]"
121,15,8,0.273438,"[0,0,0,1,7]"
122,14,10,0.6,"[0,0,0,4,6]"
123,13,1,0,"[0,0,0,1,0]"
124,12,91,0.229743,"[5,0,3,1,82]"
125,13,90,0.208333,"[4,0,3,1,82]"
126,14,58,0.0839775,"[1,0,1,0,56]"
127,15,3,0.555556,"[0,0,1,0,2]"
128,15,55,0.0446282,"[1,0,0,0,54]"
129,16,16,0.146484,"[1,0,0,0,15]"
130,17,8,0,"[0,0,0,0,8]"
131,17,8,0.273438,"[1,0,0,0,7]"
132,16,39,0,"[0,0,0,0,39]"
133,14,32,0.407715,"[3,0,2,1,26]"
134,15,12,0,"[0,0,0,0,12]"
135,15,20,0.59375,"[3,0,2,1,14]"
136,16,4,0.625,"[2,0,0,0,2]"
137,16,16,0.517578,"[1,0,2,1,12]"
138,17,13,0.177515,"[0,0,1,0,12]"
139,18,4,0.46875,"[0,0,1,0,3]"
140,18,9,0,"[0,0,0,0,9]"
141,17,3,0.833333,"[1,0,1,1,0]"
142,13,1,0,"[1,0,0,0,0]"
143,11,48,0.584852,"[3,0,5,6,34]"
144,12,8,0.742188,"[0,0,3,1,4]"
145,12,40,0.517187,"[3,0,2,5,30]"
146,13,31,0.359001,"[2,0,1,2,26]"
147,14,29,0.237812,"[1,0,0,2,26]"
148,15,14,0.306122,"[0,0,0,2,12]"
149,16,6,0,"[0,0,0,0,6]"
150,16,8,0.46875,"[0,0,0,2,6]"
