id,depth,n_node_samples,impurity,value
0,0,13292,0.999974,"[2651,2651,2660,2707,2623]"
1,1,12862,0.999,"[2252,2634,2649,2705,2622]"
2,2,6807,0.840546,"[443,2575,54,2696,1039]"
3,3,6763,0.841341,"[443,2531,54,2696,1039]"
4,4,5047,0.673075,"[84,2328,1,2513,121]"
5,5,1405,0.232791,"[0,1259,0,146,0]"
6,6,746,0.0460362,"[0,732,0,14,0]"
7,7,223,0.0222203,"[0,221,0,2,0]"
8,8,106,0,"[0,106,0,0,0]"
9,8,117,0.0420044,"[0,115,0,2,0]"
10,9,89,0.0277743,"[0,88,0,1,0]"
11,10,85,0,"[0,85,0,0,0]"
12,10,4,0.46875,"[0,3,0,1,0]"
13,9,28,0.0860969,"[0,27,0,1,0]"
14,10,1,0,"[0,0,0,1,0]"
15,10,27,0,"[0,27,0,0,0]"
16,7,523,0.0560454,"[0,511,0,12,0]"
17,8,89,0.227244,"[0,80,0,9,0]"
18,9,84,0.190972,"[0,77,0,7,0]"
19,10,14,0.510204,"[0,10,0,4,0]"
20,11,11,0.371901,"[0,9,0,2,0]"
21,12,9,0,"[0,9,0,0,0]"
22,12,2,0,"[0,0,0,2,0]"
23,11,3,0.555556,"[0,1,0,2,0]"
24,10,70,0.102551,"[0,67,0,3,0]"
25,11,15,0.4,"[0,12,0,3,0]"
26,12,2,0,"[0,2,0,0,0]"
27,12,13,0.443787,"[0,10,0,3,0]"
28,13,8,0.585938,"[0,5,0,3,0]"
29,13,5,0,"[0,5,0,0,0]"
30,11,55,1.49012e-7,"[0,55,0,0,0]"
31,9,5,0.6,"[0,3,0,2,0]"
32,8,434,0.0171617,"[0,431,0,3,0]"
33,9,273,0,"[0,273,0,0,0]"
34,9,161,0.0457159,"[0,158,0,3,0]"
35,10,148,0.0333272,"[0,146,0,2,0]"
36,11,24,0.190972,"[0,22,0,2,0]"
37,12,13,0,"[0,13,0,0,0]"
38,12,11,0.371901,"[0,9,0,2,0]"
39,13,1,0,"[0,0,0,1,0]"
40,13,10,0.225,"[0,9,0,1,0]"
41,11,124,0,"[0,124,0,0,0]"
42,10,13,0.177515,"[0,12,0,1,0]"
43,11,12,0,"[0,12,0,0,0]"
44,11,1,0,"[0,0,0,1,0]"
45,6,659,0.400455,"[0,527,0,132,0]"
46,7,188,0.46875,"[0,141,0,47,0]"
47,8,157,0.355998,"[0,130,0,27,0]"
48,9,134,0.390956,"[0,108,0,26,0]"
49,10,1,0,"[0,0,0,1,0]"
50,10,133,0.381593,"[0,108,0,25,0]"
51,11,106,0.286579,"[0,92,0,14,0]"
52,12,37,0.522279,"[0,26,0,11,0]"
53,13,26,0.325444,"[0,22,0,4,0]"
54,14,25,0.264,"[0,22,0,3,0]"
55,15,11,0,"[0,11,0,0,0]"
56,15,14,0.420918,"[0,11,0,3,0]"
57,16,11,0,"[0,11,0,0,0]"
58,16,3,0,"[0,0,0,3,0]"
59,14,1,0,"[0,0,0,1,0]"
60,13,11,0.578512,"[0,4,0,7,0]"
61,14,7,0.612245,"[0,4,0,3,0]"
62,14,4,0,"[0,0,0,4,0]"
63,12,69,0.10397,"[0,66,0,3,0]"
64,13,33,0.206611,"[0,30,0,3,0]"
65,14,6,0.555556,"[0,4,0,2,0]"
66,14,27,0.0891632,"[0,26,0,1,0]"
67,15,14,0,"[0,14,0,0,0]"
68,15,13,0.177515,"[0,12,0,1,0]"
69,16,1,0,"[0,0,0,1,0]"
70,16,12,0,"[0,12,0,0,0]"
