id,depth,n_node_samples,impurity,value
0,0,13316,0.999975,"[2656,2653,2709,2628,2670]"
1,1,12558,0.999077,"[2214,2533,2638,2575,2598]"
2,2,7111,0.97597,"[993,1617,932,2136,1433]"
3,3,5937,0.942668,"[388,1325,785,2059,1380]"
4,4,4233,0.83692,"[145,1302,273,1954,559]"
5,5,3508,0.853507,"[125,1184,187,1468,544]"
6,6,2486,0.771836,"[125,228,187,1402,544]"
7,7,2385,0.757478,"[115,203,175,1374,518]"
8,8,1960,0.6948,"[41,97,153,1208,461]"
9,9,1809,0.663529,"[16,71,133,1148,441]"
10,10,421,0.753113,"[9,10,103,63,236]"
11,11,398,0.719631,"[4,7,95,58,234]"
12,12,4,0.78125,"[1,1,0,2,0]"
13,12,394,0.710805,"[3,6,95,56,234]"
14,13,7,0.306122,"[0,0,6,0,1]"
15,13,387,0.704235,"[3,6,89,56,233]"
16,14,273,0.486488,"[1,6,5,55,206]"
17,15,52,0.374445,"[0,3,0,43,6]"
18,16,10,0.775,"[0,2,0,5,3]"
19,16,42,0.219671,"[0,1,0,38,3]"
20,17,26,0.0924556,"[0,1,0,25,0]"
21,18,14,0,"[0,0,0,14,0]"
22,18,12,0.190972,"[0,1,0,11,0]"
23,19,6,0,"[0,0,0,6,0]"
24,19,6,0.347222,"[0,1,0,5,0]"
25,17,16,0.380859,"[0,0,0,13,3]"
26,18,2,0,"[0,0,0,0,2]"
27,18,14,0.165816,"[0,0,0,13,1]"
28,19,7,0,"[0,0,0,7,0]"
29,19,7,0.306122,"[0,0,0,6,1]"
30,15,221,0.221689,"[1,3,5,12,200]"
31,16,208,0.180462,"[0,3,1,12,192]"
32,17,206,0.171552,"[0,3,1,11,191]"
33,18,18,0.733025,"[0,2,0,9,7]"
34,19,6,0.347222,"[0,1,0,5,0]"
35,19,12,0.677083,"[0,1,0,4,7]"
36,20,3,0.555556,"[0,1,0,2,0]"
37,20,9,0.432099,"[0,0,0,2,7]"
38,18,188,0.0524136,"[0,1,1,2,184]"
39,19,187,0.0396065,"[0,1,0,2,184]"
40,20,142,0.0174817,"[0,0,0,1,141]"
41,21,4,0.46875,"[0,0,0,1,3]"
42,21,138,0,"[0,0,0,0,138]"
43,20,45,0.107407,"[0,1,0,1,43]"
44,21,35,0.0693877,"[0,0,0,1,34]"
45,22,15,0.155555,"[0,0,0,1,14]"
46,23,6,0.347222,"[0,0,0,1,5]"
47,23,9,0,"[0,0,0,0,9]"
48,22,20,0,"[0,0,0,0,20]"
