id,depth,n_node_samples,impurity,value
0,0,13440,0.999993,"[2664,2703,2680,2699,2694]"
1,1,11571,0.998314,"[2114,2419,2093,2596,2349]"
2,2,10030,0.994921,"[1615,2122,1764,2423,2106]"
3,3,9446,0.986206,"[1109,2073,1745,2413,2106]"
4,4,8027,0.989698,"[979,1755,1718,1651,1924]"
5,5,7703,0.987126,"[866,1673,1671,1611,1882]"
6,6,2593,0.791926,"[268,229,1404,92,600]"
7,7,1505,0.785498,"[107,111,790,61,436]"
8,8,1483,0.778789,"[97,108,787,61,430]"
9,9,837,0.277168,"[43,30,736,0,28]"
10,10,29,0,"[0,29,0,0,0]"
11,10,808,0.207804,"[43,1,736,0,28]"
12,11,117,0.103368,"[2,0,112,0,3]"
13,12,116,0.0837917,"[1,0,112,0,3]"
14,13,9,0.246914,"[0,0,8,0,1]"
15,13,107,0.068565,"[1,0,104,0,2]"
16,14,103,0.047601,"[0,0,101,0,2]"
17,15,12,0.190972,"[0,0,11,0,1]"
18,16,1,0,"[0,0,0,0,1]"
19,16,11,0,"[0,0,11,0,0]"
20,15,91,0.0271706,"[0,0,90,0,1]"
21,16,48,0,"[0,0,48,0,0]"
22,16,43,0.0567875,"[0,0,42,0,1]"
23,17,9,0.246914,"[0,0,8,0,1]"
24,17,34,0,"[0,0,34,0,0]"
25,14,4,0.46875,"[1,0,3,0,0]"
26,12,1,0,"[1,0,0,0,0]"
27,11,691,0.224611,"[41,1,624,0,25]"
28,12,33,0.693297,"[2,0,16,0,15]"
29,13,13,0.650887,"[1,0,4,0,8]"
30,14,4,0,"[0,0,0,0,4]"
31,14,9,0.740741,"[1,0,4,0,4]"
32,13,20,0.64375,"[1,0,12,0,7]"
33,14,18,0.594136,"[1,0,12,0,5]"
34,15,9,0.246914,"[0,0,8,0,1]"
35,15,9,0.740741,"[1,0,4,0,4]"
36,14,2,0,"[0,0,0,0,2]"
37,12,658,0.178069,"[39,1,608,0,10]"
38,13,1,0,"[1,0,0,0,0]"
39,13,657,0.175027,"[38,1,608,0,10]"
40,14,162,0.238816,"[14,0,145,0,3]"
41,15,1,0,"[0,0,0,0,1]"
42,15,161,0.226457,"[14,0,145,0,2]"
43,16,152,0.140777,"[7,0,143,0,2]"
44,17,140,0.103189,"[5,0,134,0,1]"
45,18,8,0.664062,"[2,0,5,0,1]"
46,18,132,0.0555268,"[3,0,129,0,0]"
47,19,127,0.03875,"[2,0,125,0,0]"
48,20,42,0,"[0,0,42,0,0]"
49,20,85,0.0574395,"[2,0,83,0,0]"
50,21,83,0.0297578,"[1,0,82,0,0]"
51,22,20,0.11875,"[1,0,19,0,0]"
52,23,11,0,"[0,0,11,0,0]"
53,23,9,0.246914,"[1,0,8,0,0]"
54,22,63,0,"[0,0,63,0,0]"
55,21,2,0.625,"[1,0,1,0,0]"
56,19,5,0.4,"[1,0,4,0,0]"
57,17,12,0.503472,"[2,0,9,0,1]"
58,18,5,0,"[0,0,5,0,0]"
59,18,7,0.714286,"[2,0,4,0,1]"
60,16,9,0.432099,"[7,0,2,0,0]"
61,14,495,0.153199,"[24,1,463,0,7]"
62,15,494,0.148759,"[24,0,463,0,7]"
63,16,21,0.725624,"[5,0,12,0,4]"
64,17,20,0.7,"[4,0,12,0,4]"
65,18,6,0.763889,"[1,0,2,0,3]"
66,18,14,0.548469,"[3,0,10,0,1]"
67,19,2,0,"[2,0,0,0,0]"
68,19,12,0.364583,"[1,0,10,0,1]"
69,20,9,0.246914,"[0,0,8,0,1]"
70,20,3,0.555556,"[1,0,2,0,0]"
71,17,1,0,"[1,0,0,0,0]"
72,16,473,0.111508,"[19,0,451,0,3]"
73,17,31,0.496878,"[7,0,23,0,1]"
74,18,16,0.585938,"[6,0,10,0,0]"
75,19,11,0.619835,"[6,0,5,0,0]"
76,20,2,0,"[2,0,0,0,0]"
77,20,9,0.617284,"[4,0,5,0,0]"
78,19,5,0,"[0,0,5,0,0]"
79,18,15,0.3,"[1,0,13,0,1]"
80,19,3,0.555556,"[1,0,2,0,0]"
81,19,12,0.190972,"[0,0,11,0,1]"
82,20,2,0.625,"[0,0,1,0,1]"
83,20,10,0,"[0,0,10,0,0]"
84,17,442,0.0769844,"[12,0,428,0,2]"
85,18,271,0.0274369,"[1,0,268,0,2]"
86,19,258,0.0192296,"[0,0,256,0,2]"
87,20,133,0,"[0,0,133,0,0]"
88,20,125,0.0393599,"[0,0,123,0,2]"
89,21,86,0,"[0,0,86,0,0]"
90,21,39,0.12163,"[0,0,37,0,2]"
91,22,21,0,"[0,0,21,0,0]"
92,22,18,0.246914,"[0,0,16,0,2]"
93,23,11,0,"[0,0,11,0,0]"
94,23,7,0.510204,"[0,0,5,0,2]"
95,19,13,0.177515,"[1,0,12,0,0]"
96,20,6,0.347222,"[1,0,5,0,0]"
97,20,7,0,"[0,0,7,0,0]"
98,18,171,0.150474,"[11,0,160,0,0]"
99,19,9,0.555556,"[3,0,6,0,0]"
100,19,162,0.11736,"[8,0,154,0,0]"
101,20,4,0.625,"[2,0,2,0,0]"
102,20,158,0.0913315,"[6,0,152,0,0]"
103,21,157,0.0770822,"[5,0,152,0,0]"
104,22,156,0.062459,"[4,0,152,0,0]"
105,23,109,0.0450301,"[2,0,107,0,0]"
106,24,90,0.0274691,"[1,0,89,0,0]"
107,25,35,0.0693877,"[1,0,34,0,0]"
108,26,33,0,"[0,0,33,0,0]"
109,26,2,0.625,"[1,0,1,0,0]"
110,25,55,1.49012e-7,"[0,0,55,0,0]"
111,24,19,0.124654,"[1,0,18,0,0]"
112,25,8,0.273438,"[1,0,7,0,0]"
113,25,11,0,"[0,0,11,0,0]"
114,23,47,0.101856,"[2,0,45,0,0]"
115,24,46,0.0531663,"[1,0,45,0,0]"
116,25,40,0,"[0,0,40,0,0]"
117,25,6,0.347222,"[1,0,5,0,0]"
118,24,1,0,"[1,0,0,0,0]"
119,22,1,0,"[1,0,0,0,0]"
120,21,1,0,"[1,0,0,0,0]"
121,15,1,0,"[0,1,0,0,0]"
122,9,646,0.720048,"[54,78,51,61,402]"
123,10,195,0.937673,"[42,54,20,14,65]"
124,11,148,0.914673,"[29,33,15,11,60]"
125,12,104,0.778014,"[24,3,15,5,57]"
126,13,102,0.770377,"[22,3,15,5,57]"
127,14,84,0.724561,"[12,3,14,4,51]"
128,15,69,0.63117,"[8,2,8,4,47]"
129,16,10,0.875,"[2,0,3,1,4]"
130,16,59,0.559466,"[6,2,5,3,43]"
131,17,21,0.810658,"[5,1,2,2,11]"
132,18,18,0.733025,"[2,1,2,2,11]"
133,19,1,0,"[1,0,0,0,0]"
134,19,17,0.683391,"[1,1,2,2,11]"
135,20,14,0.446428,"[0,0,1,2,11]"
136,21,1,0,"[0,0,0,1,0]"
137,21,13,0.340237,"[0,0,1,1,11]"
138,22,2,0.625,"[0,0,0,1,1]"
139,22,11,0.206611,"[0,0,1,0,10]"
140,23,4,0.46875,"[0,0,1,0,3]"
141,23,7,0,"[0,0,0,0,7]"
142,20,3,0.833333,"[1,1,1,0,0]"
143,18,3,0,"[3,0,0,0,0]"
144,17,38,0.353186,"[1,1,3,1,32]"
145,18,34,0.272491,"[1,1,1,1,30]"
146,19,32,0.219727,"[1,1,0,1,29]"
147,20,31,0.153486,"[0,1,0,1,29]"
148,21,23,0,"[0,0,0,0,23]"
149,21,8,0.507812,"[0,1,0,1,6]"
150,20,1,0,"[1,0,0,0,0]"
151,19,2,0.625,"[0,0,1,0,1]"
152,18,4,0.625,"[0,0,2,0,2]"
153,15,15,0.866667,"[4,1,6,0,4]"
154,16,13,0.828402,"[4,1,6,0,2]"
155,17,1,0,"[0,1,0,0,0]"
156,17,12,0.763889,"[4,0,6,0,2]"
157,18,9,0.802469,"[4,0,3,0,2]"
158,18,3,0,"[0,0,3,0,0]"
159,16,2,0,"[0,0,0,0,2]"
160,14,18,0.717593,"[10,0,1,1,6]"
161,15,15,0.766667,"[7,0,1,1,6]"
162,16,12,0.78125,"[4,0,1,1,6]"
163,17,7,0.306122,"[0,0,1,0,6]"
164,17,5,0.4,"[4,0,0,1,0]"
