id,depth,n_node_samples,impurity,value
0,0,13308,0.999947,"[2654,2615,2730,2671,2638]"
1,1,8093,0.865358,"[2487,161,2726,173,2546]"
2,2,6952,0.865603,"[2221,131,2154,155,2291]"
3,3,1519,0.394086,"[1242,45,22,25,185]"
4,4,329,0.207777,"[300,10,2,8,9]"
5,5,321,0.198853,"[294,8,2,8,9]"
6,6,314,0.174475,"[291,6,2,8,7]"
7,7,187,0.116603,"[178,1,2,3,3]"
8,8,5,0.4,"[4,0,0,0,1]"
9,8,182,0.106796,"[174,1,2,3,2]"
10,9,82,0.173632,"[76,1,0,3,2]"
11,10,3,0.555556,"[2,0,0,1,0]"
12,10,79,0.151418,"[74,1,0,2,2]"
13,11,46,0.204395,"[42,1,0,2,1]"
14,12,5,0.8,"[2,0,0,2,1]"
15,12,41,0.0594885,"[40,1,0,0,0]"
16,13,18,0.131173,"[17,1,0,0,0]"
17,14,16,0,"[16,0,0,0,0]"
18,14,2,0.625,"[1,1,0,0,0]"
19,13,23,0,"[23,0,0,0,0]"
20,11,33,0.0734618,"[32,0,0,0,1]"
21,12,22,0,"[22,0,0,0,0]"
22,12,11,0.206611,"[10,0,0,0,1]"
23,13,3,0.555556,"[2,0,0,0,1]"
24,13,8,0,"[8,0,0,0,0]"
25,9,100,0.0490001,"[98,0,2,0,0]"
26,10,28,0.165816,"[26,0,2,0,0]"
27,11,27,0.0891632,"[26,0,1,0,0]"
28,12,8,0.273438,"[7,0,1,0,0]"
29,12,19,0,"[19,0,0,0,0]"
30,11,1,0,"[0,0,1,0,0]"
31,10,72,0,"[72,0,0,0,0]"
32,7,127,0.255286,"[113,5,0,5,4]"
33,8,115,0.242533,"[103,3,0,5,4]"
34,9,35,0.569388,"[25,1,0,5,4]"
35,10,18,0.841049,"[8,1,0,5,4]"
36,11,10,0.725,"[0,1,0,5,4]"
37,11,8,0,"[8,0,0,0,0]"
38,10,17,0,"[17,0,0,0,0]"
39,9,80,0.0609374,"[78,2,0,0,0]"
40,10,74,0,"[74,0,0,0,0]"
41,10,6,0.555556,"[4,2,0,0,0]"
42,8,12,0.347222,"[10,2,0,0,0]"
43,9,3,0.555556,"[2,1,0,0,0]"
44,9,9,0.246914,"[8,1,0,0,0]"
45,6,7,0.816326,"[3,2,0,0,2]"
46,5,8,0.46875,"[6,2,0,0,0]"
47,4,1190,0.437686,"[942,35,20,17,176]"
48,5,470,0.544217,"[340,16,11,10,93]"
49,6,279,0.641339,"[179,11,4,10,75]"
50,7,170,0.722145,"[95,8,3,9,55]"
51,8,128,0.750732,"[62,7,1,7,51]"
52,9,78,0.625822,"[20,1,0,6,51]"
53,10,42,0.432256,"[8,0,0,1,33]"
54,11,25,0.272,"[2,0,0,1,22]"
55,12,8,0.507812,"[1,0,0,1,6]"
56,12,17,0.138408,"[1,0,0,0,16]"
57,13,9,0,"[0,0,0,0,9]"
58,13,8,0.273438,"[1,0,0,0,7]"
59,11,17,0.570934,"[6,0,0,0,11]"
60,12,12,0.347222,"[2,0,0,0,10]"
61,13,6,0,"[0,0,0,0,6]"
62,13,6,0.555556,"[2,0,0,0,4]"
63,12,5,0.4,"[4,0,0,0,1]"
64,10,36,0.773534,"[12,1,0,5,18]"
65,11,22,0.728306,"[4,1,0,4,13]"
66,12,7,0.714286,"[2,0,0,4,1]"
67,12,15,0.422222,"[2,1,0,0,12]"
68,13,2,0.625,"[0,1,0,0,1]"
69,13,13,0.325444,"[2,0,0,0,11]"
70,14,8,0,"[0,0,0,0,8]"
71,14,5,0.6,"[2,0,0,0,3]"
72,11,14,0.67602,"[8,0,0,1,5]"
73,12,4,0.78125,"[1,0,0,1,2]"
74,12,10,0.525,"[7,0,0,0,3]"
75,9,50,0.349,"[42,6,1,1,0]"
76,10,48,0.317925,"[41,6,1,0,0]"
77,11,4,0.625,"[2,2,0,0,0]"
78,11,44,0.256973,"[39,4,1,0,0]"
79,12,8,0.664062,"[5,2,1,0,0]"
80,12,36,0.131173,"[34,2,0,0,0]"
81,13,16,0,"[16,0,0,0,0]"
82,13,20,0.225,"[18,2,0,0,0]"
83,14,11,0,"[11,0,0,0,0]"
84,14,9,0.432099,"[7,2,0,0,0]"
85,10,2,0.625,"[1,0,0,1,0]"
86,8,42,0.460601,"[33,1,2,2,4]"
87,9,7,0.714286,"[0,1,0,2,4]"
88,9,35,0.134694,"[33,0,2,0,0]"
89,10,16,0,"[16,0,0,0,0]"
90,10,19,0.235457,"[17,0,2,0,0]"
91,11,1,0,"[0,0,1,0,0]"
92,11,18,0.131173,"[17,0,1,0,0]"
93,12,3,0.555556,"[2,0,1,0,0]"
94,12,15,0,"[15,0,0,0,0]"
95,7,109,0.464397,"[84,3,1,1,20]"
96,8,84,0.390802,"[68,0,1,0,15]"
97,9,51,0.1807,"[47,0,0,0,4]"
98,10,22,0.294421,"[19,0,0,0,3]"
99,11,2,0.625,"[1,0,0,0,1]"
100,11,20,0.225,"[18,0,0,0,2]"
101,12,11,0.371901,"[9,0,0,0,2]"
102,13,8,0,"[8,0,0,0,0]"
103,13,3,0.555556,"[1,0,0,0,2]"
104,12,9,0,"[9,0,0,0,0]"
105,10,29,0.0832343,"[28,0,0,0,1]"
106,11,5,0.4,"[4,0,0,0,1]"
107,11,24,0,"[24,0,0,0,0]"
108,9,33,0.603765,"[21,0,1,0,11]"
109,10,22,0.625,"[11,0,0,0,11]"
110,11,18,0.594136,"[11,0,0,0,7]"
111,12,6,0,"[0,0,0,0,6]"
112,12,12,0.190972,"[11,0,0,0,1]"
113,13,10,0,"[10,0,0,0,0]"
114,13,2,0.625,"[1,0,0,0,1]"
115,11,4,0,"[0,0,0,0,4]"
116,10,11,0.206611,"[10,0,1,0,0]"
117,11,2,0.625,"[1,0,1,0,0]"
118,11,9,0,"[9,0,0,0,0]"
119,8,25,0.668,"[16,3,0,1,5]"
120,9,11,0.392562,"[9,1,0,1,0]"
121,10,3,0.555556,"[2,1,0,0,0]"
122,10,8,0.273438,"[7,0,0,1,0]"
123,9,14,0.752551,"[7,2,0,0,5]"
124,10,2,0.625,"[0,1,0,0,1]"
125,10,12,0.677083,"[7,1,0,0,4]"
126,11,9,0.740741,"[4,1,0,0,4]"
127,11,3,0,"[3,0,0,0,0]"
128,6,191,0.348195,"[161,5,7,0,18]"
129,7,156,0.401566,"[127,4,7,0,18]"
130,8,58,0.615339,"[38,2,2,0,16]"
131,9,26,0.650887,"[8,2,0,0,16]"
132,10,2,0,"[2,0,0,0,0]"
133,10,24,0.607639,"[6,2,0,0,16]"
134,11,14,0.318877,"[1,1,0,0,12]"
135,12,1,0,"[1,0,0,0,0]"
136,12,13,0.177515,"[0,1,0,0,12]"
137,13,12,0,"[0,0,0,0,12]"
138,13,1,0,"[0,1,0,0,0]"
139,11,10,0.725,"[5,1,0,0,4]"
140,9,32,0.146484,"[30,0,2,0,0]"
141,10,11,0.371901,"[9,0,2,0,0]"
142,11,5,0,"[5,0,0,0,0]"
143,11,6,0.555556,"[4,0,2,0,0]"
144,10,21,0,"[21,0,0,0,0]"
145,8,98,0.214754,"[89,2,5,0,2]"
146,9,96,0.17334,"[89,2,3,0,2]"
147,10,74,0.129657,"[70,2,0,0,2]"
148,11,48,0.0509982,"[47,0,0,0,1]"
149,12,2,0.625,"[1,0,0,0,1]"
150,12,46,0,"[46,0,0,0,0]"
151,11,26,0.262574,"[23,2,0,0,1]"
152,12,24,0.190972,"[22,2,0,0,0]"
153,13,23,0.10397,"[22,1,0,0,0]"
154,14,19,0,"[19,0,0,0,0]"
155,14,4,0.46875,"[3,1,0,0,0]"
156,13,1,0,"[0,1,0,0,0]"
157,12,2,0.625,"[1,0,0,0,1]"
158,10,22,0.294421,"[19,0,3,0,0]"
159,11,16,0.380859,"[13,0,3,0,0]"
160,12,7,0.612245,"[4,0,3,0,0]"
161,12,9,0,"[9,0,0,0,0]"
162,11,6,0,"[6,0,0,0,0]"
163,9,2,0,"[0,0,2,0,0]"
164,7,35,0.0693877,"[34,1,0,0,0]"
165,8,6,0.347222,"[5,1,0,0,0]"
166,8,29,0,"[29,0,0,0,0]"
167,5,720,0.358353,"[602,19,9,7,83]"
168,6,168,0.476102,"[129,6,3,2,28]"
169,7,133,0.51402,"[99,5,3,2,24]"
170,8,81,0.627572,"[53,2,3,2,21]"
171,9,34,0.685554,"[14,0,1,1,18]"
172,10,31,0.668574,"[11,0,1,1,18]"
173,11,21,0.402494,"[3,0,0,1,17]"
174,12,1,0,"[0,0,0,1,0]"
175,12,20,0.31875,"[3,0,0,0,17]"
176,13,3,0.555556,"[2,0,0,0,1]"
177,13,17,0.138408,"[1,0,0,0,16]"
178,14,14,0,"[0,0,0,0,14]"
179,14,3,0.555556,"[1,0,0,0,2]"
180,11,10,0.425,"[8,0,1,0,1]"
181,10,3,0,"[3,0,0,0,0]"
182,9,47,0.379131,"[39,2,2,1,3]"
183,10,45,0.349383,"[38,1,2,1,3]"
184,11,31,0.48127,"[24,1,2,1,3]"
185,12,6,0.763889,"[3,0,1,0,2]"
186,12,25,0.36,"[21,1,1,1,1]"
187,13,13,0.488166,"[10,0,1,1,1]"
188,14,6,0.833333,"[3,0,1,1,1]"
189,14,7,0,"[7,0,0,0,0]"
190,13,12,0.190972,"[11,1,0,0,0]"
191,14,6,0.347222,"[5,1,0,0,0]"
192,14,6,0,"[6,0,0,0,0]"
193,11,14,0,"[14,0,0,0,0]"
194,10,2,0.625,"[1,1,0,0,0]"
195,8,52,0.263498,"[46,3,0,0,3]"
196,9,6,0.763889,"[1,2,0,0,3]"
197,9,46,0.0531663,"[45,1,0,0,0]"
198,10,22,0.108471,"[21,1,0,0,0]"
199,11,14,0,"[14,0,0,0,0]"
200,11,8,0.273438,"[7,1,0,0,0]"
201,10,24,0,"[24,0,0,0,0]"
202,7,35,0.314286,"[30,1,0,0,4]"
203,8,23,0.444234,"[18,1,0,0,4]"
204,9,9,0,"[9,0,0,0,0]"
205,9,14,0.625,"[9,1,0,0,4]"
206,10,5,0.7,"[1,1,0,0,3]"
207,10,9,0.246914,"[8,0,0,0,1]"
208,8,12,0,"[12,0,0,0,0]"
209,6,552,0.318834,"[473,13,6,5,55]"
210,7,384,0.400594,"[312,10,6,4,52]"
211,8,140,0.136862,"[132,1,5,0,2]"
212,9,40,0.0609374,"[39,1,0,0,0]"
213,10,28,0,"[28,0,0,0,0]"
214,10,12,0.190972,"[11,1,0,0,0]"
215,11,9,0,"[9,0,0,0,0]"
216,11,3,0.555556,"[2,1,0,0,0]"
217,9,100,0.16525,"[93,0,5,0,2]"
218,10,69,0.0703633,"[67,0,0,0,2]"
219,11,3,0.555556,"[2,0,0,0,1]"
220,11,66,0.0373048,"[65,0,0,0,1]"
221,12,38,0,"[38,0,0,0,0]"
222,12,28,0.0860969,"[27,0,0,0,1]"
223,13,14,0,"[14,0,0,0,0]"
224,13,14,0.165816,"[13,0,0,0,1]"
225,14,5,0.4,"[4,0,0,0,1]"
226,14,9,0,"[9,0,0,0,0]"
227,10,31,0.338189,"[26,0,5,0,0]"
228,11,14,0.510204,"[10,0,4,0,0]"
229,12,13,0.443787,"[10,0,3,0,0]"
230,13,8,0.585938,"[5,0,3,0,0]"
231,13,5,0,"[5,0,0,0,0]"
232,12,1,0,"[0,0,1,0,0]"
233,11,17,0.138408,"[16,0,1,0,0]"
234,12,13,0,"[13,0,0,0,0]"
235,12,4,0.46875,"[3,0,1,0,0]"
236,8,244,0.515193,"[180,9,1,4,50]"
237,9,76,0.351887,"[64,4,1,1,6]"
238,10,23,0.10397,"[22,1,0,0,0]"
239,11,10,0.225,"[9,1,0,0,0]"
240,11,13,0,"[13,0,0,0,0]"
241,10,53,0.444108,"[42,3,1,1,6]"
242,11,16,0.849609,"[6,3,0,1,6]"
243,12,7,0.306122,"[0,0,0,1,6]"
244,12,9,0.555556,"[6,3,0,0,0]"
245,11,37,0.0657414,"[36,0,1,0,0]"
246,12,34,0,"[34,0,0,0,0]"
247,12,3,0.555556,"[2,0,1,0,0]"
248,9,168,0.566805,"[116,5,0,3,44]"
249,10,153,0.60009,"[101,5,0,3,44]"
250,11,137,0.626831,"[86,4,0,3,44]"
251,12,89,0.701616,"[44,3,0,3,39]"
252,13,66,0.695592,"[30,2,0,2,32]"
253,14,44,0.561725,"[10,1,0,2,31]"
254,15,24,0.62066,"[8,0,0,1,15]"
255,16,6,0.763889,"[3,0,0,1,2]"
256,16,18,0.501543,"[5,0,0,0,13]"
257,17,10,0.225,"[1,0,0,0,9]"
258,17,8,0.625,"[4,0,0,0,4]"
259,15,20,0.43125,"[2,1,0,1,16]"
260,16,19,0.34626,"[2,0,0,1,16]"
261,17,18,0.25463,"[1,0,0,1,16]"
262,18,17,0.138408,"[0,0,0,1,16]"
263,19,9,0,"[0,0,0,0,9]"
264,19,8,0.273438,"[0,0,0,1,7]"
265,18,1,0,"[1,0,0,0,0]"
266,17,1,0,"[1,0,0,0,0]"
267,16,1,0,"[0,1,0,0,0]"
268,14,22,0.211777,"[20,1,0,0,1]"
269,15,10,0.425,"[8,1,0,0,1]"
270,15,12,0,"[12,0,0,0,0]"
271,13,23,0.666352,"[14,1,0,1,7]"
272,14,14,0.765306,"[5,1,0,1,7]"
273,15,5,0.7,"[3,1,0,1,0]"
274,15,9,0.432099,"[2,0,0,0,7]"
275,14,9,0,"[9,0,0,0,0]"
276,12,48,0.278863,"[42,1,0,0,5]"
277,13,20,0.55625,"[14,1,0,0,5]"
278,14,13,0.340237,"[11,1,0,0,1]"
279,15,8,0.507812,"[6,1,0,0,1]"
280,15,5,0,"[5,0,0,0,0]"
281,14,7,0.612245,"[3,0,0,0,4]"
