id,depth,n_node_samples,impurity,value
330,14,12,0.190972,"[1,0,11,0,0]"
331,15,11,0,"[0,0,11,0,0]"
332,15,1,0,"[1,0,0,0,0]"
333,13,2,0,"[2,0,0,0,0]"
334,8,188,0.782311,"[35,7,102,5,39]"
335,9,75,0.674222,"[21,5,46,0,3]"
336,10,47,0.484382,"[7,2,36,0,2]"
337,11,28,0.245536,"[1,0,25,0,2]"
338,12,9,0,"[0,0,9,0,0]"
339,12,19,0.34626,"[1,0,16,0,2]"
340,13,18,0.246914,"[0,0,16,0,2]"
341,14,2,0.625,"[0,0,1,0,1]"
342,14,16,0.146484,"[0,0,15,0,1]"
343,15,4,0.46875,"[0,0,3,0,1]"
344,15,12,0,"[0,0,12,0,0]"
345,13,1,0,"[1,0,0,0,0]"
346,11,19,0.692521,"[6,2,11,0,0]"
347,12,10,0.775,"[5,2,3,0,0]"
348,12,9,0.246914,"[1,0,8,0,0]"
349,10,28,0.762117,"[14,3,10,0,1]"
350,11,3,0,"[3,0,0,0,0]"
351,11,25,0.788,"[11,3,10,0,1]"
352,12,23,0.798677,"[9,3,10,0,1]"
353,13,21,0.725624,"[9,2,10,0,0]"
354,14,12,0.607639,"[3,1,8,0,0]"
355,15,10,0.425,"[1,1,8,0,0]"
356,15,2,0,"[2,0,0,0,0]"
357,14,9,0.617284,"[6,1,2,0,0]"
358,13,2,0.625,"[0,1,0,0,1]"
359,12,2,0,"[2,0,0,0,0]"
360,9,113,0.794111,"[14,2,56,5,36]"
361,10,31,0.788241,"[7,2,17,2,3]"
362,11,10,0.925,"[3,2,0,2,3]"
363,11,21,0.385488,"[4,0,17,0,0]"
364,12,11,0,"[0,0,11,0,0]"
365,12,10,0.6,"[4,0,6,0,0]"
366,10,82,0.754016,"[7,0,39,3,33]"
367,11,37,0.750548,"[5,0,20,1,11]"
368,12,17,0.579585,"[1,0,12,1,3]"
369,13,10,0.8,"[1,0,5,1,3]"
370,13,7,0,"[0,0,7,0,0]"
371,12,20,0.8,"[4,0,8,0,8]"
372,13,6,0.625,"[1,0,4,0,1]"
373,13,14,0.778061,"[3,0,4,0,7]"
374,14,5,0,"[0,0,0,0,5]"
375,14,9,0.802469,"[3,0,4,0,2]"
376,11,45,0.723457,"[2,0,19,2,22]"
377,12,16,0.585938,"[0,0,10,0,6]"
378,13,4,0.46875,"[0,0,1,0,3]"
379,13,12,0.46875,"[0,0,9,0,3]"
