id,depth,n_node_samples,impurity,value
0,0,13318,0.999985,"[2669,2628,2692,2660,2669]"
1,1,12083,0.997244,"[2159,2071,2683,2520,2650]"
2,2,11933,0.996375,"[2014,2069,2680,2520,2650]"
3,3,10302,0.990959,"[1440,1752,2375,2367,2368]"
4,4,8885,0.978463,"[878,1494,2109,2188,2216]"
5,5,2978,0.942368,"[158,520,540,1033,727]"
6,6,2806,0.933235,"[132,497,464,1012,701]"
7,7,1768,0.853755,"[59,341,174,850,344]"
8,8,1204,0.559822,"[4,337,0,828,35]"
9,9,776,0.650395,"[1,292,0,450,33]"
10,10,82,0.823543,"[0,33,0,23,26]"
11,11,53,0.604308,"[0,33,0,19,1]"
12,12,51,0.587274,"[0,33,0,17,1]"
13,13,41,0.47442,"[0,31,0,9,1]"
14,14,29,0.0832343,"[0,28,0,1,0]"
15,15,16,0,"[0,16,0,0,0]"
16,15,13,0.177515,"[0,12,0,1,0]"
17,16,7,0,"[0,7,0,0,0]"
18,16,6,0.347222,"[0,5,0,1,0]"
19,14,12,0.607639,"[0,3,0,8,1]"
20,15,1,0,"[0,1,0,0,0]"
21,15,11,0.53719,"[0,2,0,8,1]"
22,16,10,0.425,"[0,1,0,8,1]"
23,16,1,0,"[0,1,0,0,0]"
24,13,10,0.4,"[0,2,0,8,0]"
25,12,2,0,"[0,0,0,2,0]"
26,11,29,0.297265,"[0,0,0,4,25]"
27,12,1,0,"[0,0,0,1,0]"
28,12,28,0.239158,"[0,0,0,3,25]"
29,13,2,0.625,"[0,0,0,1,1]"
30,13,26,0.177515,"[0,0,0,2,24]"
31,14,25,0.096,"[0,0,0,1,24]"
32,15,19,0,"[0,0,0,0,19]"
33,15,6,0.347222,"[0,0,0,1,5]"
34,14,1,0,"[0,0,0,1,0]"
35,10,694,0.602571,"[1,259,0,427,7]"
36,11,663,0.594941,"[0,241,0,415,7]"
37,12,293,0.528719,"[0,204,0,89,0]"
38,13,43,0.378583,"[0,35,0,8,0]"
39,14,4,0,"[0,4,0,0,0]"
40,14,39,0.407626,"[0,31,0,8,0]"
41,15,27,0.0891632,"[0,26,0,1,0]"
42,16,26,0,"[0,26,0,0,0]"
43,16,1,0,"[0,0,0,1,0]"
44,15,12,0.607639,"[0,5,0,7,0]"
45,16,9,0.432099,"[0,2,0,7,0]"
46,16,3,0,"[0,3,0,0,0]"
47,13,250,0.54756,"[0,169,0,81,0]"
48,14,248,0.542688,"[0,169,0,79,0]"
49,15,200,0.56875,"[0,130,0,70,0]"
50,16,197,0.572677,"[0,127,0,70,0]"
51,17,121,0.606174,"[0,71,0,50,0]"
52,18,84,0.624646,"[0,43,0,41,0]"
53,19,28,0.420918,"[0,22,0,6,0]"
54,20,22,0,"[0,22,0,0,0]"
55,20,6,0,"[0,0,0,6,0]"
56,19,56,0.585938,"[0,21,0,35,0]"
57,20,31,0,"[0,0,0,31,0]"
58,20,25,0.336,"[0,21,0,4,0]"
59,21,14,0.165816,"[0,13,0,1,0]"
60,22,7,0.306122,"[0,6,0,1,0]"
61,22,7,0,"[0,7,0,0,0]"
62,21,11,0.495868,"[0,8,0,3,0]"
63,22,10,0.4,"[0,8,0,2,0]"
64,22,1,0,"[0,0,0,1,0]"
65,18,37,0.46019,"[0,28,0,9,0]"
66,19,14,0.612245,"[0,6,0,8,0]"
67,20,12,0.625,"[0,6,0,6,0]"
68,21,7,0.510204,"[0,5,0,2,0]"
69,21,5,0.4,"[0,1,0,4,0]"
70,20,2,0,"[0,0,0,2,0]"
71,19,23,0.10397,"[0,22,0,1,0]"
72,20,22,0,"[0,22,0,0,0]"
73,20,1,0,"[0,0,0,1,0]"
74,17,76,0.484765,"[0,56,0,20,0]"
75,18,60,0.540972,"[0,41,0,19,0]"
76,19,49,0.593503,"[0,30,0,19,0]"
77,20,13,0.325444,"[0,11,0,2,0]"
78,21,6,0,"[0,6,0,0,0]"
79,21,7,0.510204,"[0,5,0,2,0]"
80,20,36,0.623071,"[0,19,0,17,0]"
81,21,4,0,"[0,4,0,0,0]"
82,21,32,0.622559,"[0,15,0,17,0]"
83,22,17,0,"[0,0,0,17,0]"
84,22,15,0,"[0,15,0,0,0]"
85,19,11,0,"[0,11,0,0,0]"
86,18,16,0.146484,"[0,15,0,1,0]"
87,19,1,0,"[0,0,0,1,0]"
88,19,15,0,"[0,15,0,0,0]"
89,16,3,0,"[0,3,0,0,0]"
90,15,48,0.380859,"[0,39,0,9,0]"
91,16,7,0,"[0,7,0,0,0]"
