id,depth,n_node_samples,impurity,value
0,0,13295,0.999972,"[2626,2633,2659,2703,2674]"
1,1,5083,0.944793,"[1881,1170,806,602,624]"
2,2,4820,0.958985,"[1637,1155,802,602,624]"
3,3,3532,0.962534,"[1150,791,703,317,571]"
4,4,2447,0.950454,"[885,541,390,253,378]"
5,5,2086,0.964396,"[687,482,338,226,353]"
6,6,396,0.712029,"[231,26,114,4,21]"
7,7,246,0.647597,"[156,10,68,2,10]"
8,8,205,0.670434,"[123,7,65,1,9]"
9,9,116,0.545853,"[85,7,16,1,7]"
10,10,63,0.749559,"[37,7,11,1,7]"
11,11,53,0.632787,"[36,5,7,1,4]"
12,12,47,0.689226,"[30,5,7,1,4]"
13,13,23,0.534026,"[17,2,3,0,1]"
14,14,3,0.555556,"[0,2,1,0,0]"
15,14,20,0.33125,"[17,0,2,0,1]"
16,15,9,0.617284,"[6,0,2,0,1]"
17,15,11,0,"[11,0,0,0,0]"
18,13,24,0.807292,"[13,3,4,1,3]"
19,14,23,0.779773,"[13,2,4,1,3]"
20,15,2,0,"[0,0,0,0,2]"
21,15,21,0.708617,"[13,2,4,1,1]"
22,16,17,0.579585,"[12,1,3,0,1]"
23,17,3,0.555556,"[0,1,2,0,0]"
24,17,14,0.318877,"[12,0,1,0,1]"
25,18,7,0,"[7,0,0,0,0]"
26,18,7,0.561225,"[5,0,1,0,1]"
27,16,4,0.9375,"[1,1,1,1,0]"
28,14,1,0,"[0,1,0,0,0]"
29,12,6,0,"[6,0,0,0,0]"
30,11,10,0.875,"[1,2,4,0,3]"
31,10,53,0.213599,"[48,0,5,0,0]"
32,11,2,0,"[0,0,2,0,0]"
33,11,51,0.138408,"[48,0,3,0,0]"
34,12,41,0.0594885,"[40,0,1,0,0]"
35,13,13,0.177515,"[12,0,1,0,0]"
36,14,4,0.46875,"[3,0,1,0,0]"
37,14,9,0,"[9,0,0,0,0]"
38,13,28,0,"[28,0,0,0,0]"
39,12,10,0.4,"[8,0,2,0,0]"
40,9,89,0.642596,"[38,0,49,0,2]"
41,10,70,0.585714,"[22,0,46,0,2]"
42,11,15,0.288889,"[2,0,13,0,0]"
43,12,12,0,"[0,0,12,0,0]"
