id,depth,n_node_samples,impurity,value
0,0,13280,0.999966,"[2707,2638,2633,2676,2626]"
1,1,4107,0.878933,"[1778,1182,454,311,382]"
2,2,2797,0.896034,"[1203,703,363,227,301]"
3,3,2561,0.906729,"[1060,658,343,219,281]"
4,4,1193,0.947805,"[401,337,138,144,173]"
5,5,1020,0.969118,"[299,281,134,135,171]"
6,6,888,0.974949,"[184,280,120,134,170]"
7,7,31,0.806452,"[16,8,1,2,4]"
8,8,30,0.797222,"[16,7,1,2,4]"
9,9,17,0.726644,"[10,1,0,2,4]"
10,10,16,0.693359,"[10,1,0,2,3]"
11,11,7,0.306122,"[6,0,0,1,0]"
12,11,9,0.833333,"[4,1,0,1,3]"
13,10,1,0,"[0,0,0,0,1]"
14,9,13,0.710059,"[6,6,1,0,0]"
15,10,10,0.6,"[4,6,0,0,0]"
16,10,3,0.555556,"[2,0,1,0,0]"
17,8,1,0,"[0,1,0,0,0]"
18,7,857,0.975391,"[168,272,119,132,166]"
19,8,700,0.984556,"[114,200,116,111,159]"
20,9,669,0.983475,"[102,194,115,108,150]"
21,10,117,0.98875,"[25,21,27,15,29]"
22,11,37,0.675676,"[0,20,0,15,2]"
23,12,14,0.306122,"[0,2,0,12,0]"
24,13,6,0,"[0,0,0,6,0]"
25,13,8,0.46875,"[0,2,0,6,0]"
26,12,23,0.453686,"[0,18,0,3,2]"
27,13,18,0.246914,"[0,16,0,2,0]"
28,14,10,0.4,"[0,8,0,2,0]"
29,14,8,0,"[0,8,0,0,0]"
30,13,5,0.8,"[0,2,0,1,2]"
31,11,80,0.842969,"[25,1,27,0,27]"
32,12,66,0.817837,"[16,0,25,0,25]"
33,13,17,0.259516,"[2,0,0,0,15]"
34,14,7,0.510204,"[2,0,0,0,5]"
35,14,10,0,"[0,0,0,0,10]"
36,13,49,0.770512,"[14,0,25,0,10]"
37,14,3,0.555556,"[2,0,1,0,0]"
38,14,46,0.765595,"[12,0,24,0,10]"
39,15,30,0.622222,"[4,0,20,0,6]"
40,16,22,0.743802,"[4,0,12,0,6]"
41,17,17,0.570934,"[2,0,12,0,3]"
42,18,1,0,"[1,0,0,0,0]"
43,18,16,0.498047,"[1,0,12,0,3]"
44,19,5,0,"[0,0,5,0,0]"
45,19,11,0.640496,"[1,0,7,0,3]"
46,20,2,0,"[0,0,2,0,0]"
47,20,9,0.709877,"[1,0,5,0,3]"
48,17,5,0.6,"[2,0,0,0,3]"
49,16,8,0,"[0,0,8,0,0]"
50,15,16,0.78125,"[8,0,4,0,4]"
51,16,2,0,"[0,0,0,0,2]"
52,16,14,0.714286,"[8,0,4,0,2]"
53,17,3,0.555556,"[1,0,0,0,2]"
54,17,11,0.578512,"[7,0,4,0,0]"
55,18,8,0.625,"[4,0,4,0,0]"
56,18,3,0,"[3,0,0,0,0]"
57,12,14,0.67602,"[9,1,2,0,2]"
58,13,3,0.555556,"[0,0,2,0,1]"
59,13,11,0.392562,"[9,1,0,0,1]"
60,14,4,0.78125,"[2,1,0,0,1]"
61,14,7,0,"[7,0,0,0,0]"
62,10,552,0.975586,"[77,173,88,93,121]"
63,11,271,0.740731,"[11,148,4,86,22]"
64,12,232,0.739772,"[8,122,3,82,17]"
65,13,127,0.748807,"[3,57,3,56,8]"
66,14,83,0.642328,"[2,29,0,50,2]"
67,15,81,0.612711,"[0,29,0,50,2]"
68,16,74,0.602173,"[0,25,0,47,2]"
69,17,58,0.4511,"[0,11,0,45,2]"
70,18,31,0.5359,"[0,8,0,22,1]"
71,19,7,0.612245,"[0,4,0,3,0]"
72,19,24,0.429687,"[0,4,0,19,1]"
73,20,20,0.225,"[0,2,0,18,0]"
74,21,16,0.146484,"[0,1,0,15,0]"
75,22,9,0.246914,"[0,1,0,8,0]"
76,22,7,0,"[0,0,0,7,0]"
77,21,4,0.46875,"[0,1,0,3,0]"
78,20,4,0.78125,"[0,2,0,1,1]"
79,18,27,0.325789,"[0,3,0,23,1]"
80,19,9,0.555556,"[0,3,0,6,0]"
81,19,18,0.131173,"[0,0,0,17,1]"
82,20,1,0,"[0,0,0,0,1]"
83,20,17,0,"[0,0,0,17,0]"
84,17,16,0.273438,"[0,14,0,2,0]"
85,18,12,0,"[0,12,0,0,0]"
86,18,4,0.625,"[0,2,0,2,0]"
87,16,7,0.612245,"[0,4,0,3,0]"
88,15,2,0,"[2,0,0,0,0]"
89,14,44,0.690857,"[1,28,3,6,6]"
90,15,40,0.63125,"[1,27,1,5,6]"
91,16,38,0.581717,"[1,27,1,4,5]"
92,17,10,0.825,"[0,5,1,2,2]"
93,17,28,0.455995,"[1,22,0,2,3]"
94,18,12,0.190972,"[0,11,0,1,0]"
95,19,3,0.555556,"[0,2,0,1,0]"
96,19,9,0,"[0,9,0,0,0]"
97,18,16,0.605469,"[1,11,0,1,3]"
98,19,8,0,"[0,8,0,0,0]"
99,19,8,0.859375,"[1,3,0,1,3]"
100,16,2,0.625,"[0,0,0,1,1]"
101,15,4,0.78125,"[0,1,2,1,0]"
102,13,105,0.682313,"[5,65,0,26,9]"
103,14,94,0.619907,"[3,62,0,24,5]"
104,15,24,0.438368,"[0,19,0,2,3]"
105,16,11,0,"[0,11,0,0,0]"
106,16,13,0.680473,"[0,8,0,2,3]"
107,17,4,0.78125,"[0,1,0,2,1]"
108,17,9,0.432099,"[0,7,0,0,2]"
109,15,70,0.651531,"[3,43,0,22,2]"
110,16,51,0.703576,"[2,27,0,20,2]"
111,17,49,0.660142,"[0,27,0,20,2]"
112,18,18,0,"[0,18,0,0,0]"
113,18,31,0.619147,"[0,9,0,20,2]"
114,19,28,0.532526,"[0,7,0,20,1]"
115,20,27,0.500686,"[0,6,0,20,1]"
116,21,10,0.625,"[0,5,0,5,0]"
117,21,17,0.268166,"[0,1,0,15,1]"
118,22,2,0.625,"[0,0,0,1,1]"
119,22,15,0.155555,"[0,1,0,14,0]"
120,23,13,0,"[0,0,0,13,0]"
121,23,2,0.625,"[0,1,0,1,0]"
122,20,1,0,"[0,1,0,0,0]"
123,19,3,0.555556,"[0,2,0,0,1]"
124,17,2,0,"[2,0,0,0,0]"
125,16,19,0.34626,"[1,16,0,2,0]"
126,17,18,0.25463,"[1,16,0,1,0]"
127,18,16,0.146484,"[0,15,0,1,0]"
128,19,1,0,"[0,0,0,1,0]"
129,19,15,0,"[0,15,0,0,0]"
130,18,2,0.625,"[1,1,0,0,0]"
131,17,1,0,"[0,0,0,1,0]"
