id,depth,n_node_samples,impurity,value
0,0,13407,0.999957,"[2656,2626,2721,2698,2706]"
1,1,8874,0.984626,"[1660,2024,1020,1829,2341]"
2,2,4242,0.937675,"[432,1198,264,1329,1019]"
3,3,2621,0.691839,"[27,1163,0,1303,128]"
4,4,2098,0.689522,"[14,851,0,1111,122]"
5,5,1539,0.581616,"[14,336,0,1067,122]"
6,6,1167,0.445982,"[3,149,0,919,96]"
7,7,1110,0.431184,"[3,131,0,884,92]"
8,8,320,0.526074,"[2,52,0,236,30]"
9,9,310,0.498959,"[2,48,0,234,26]"
10,10,296,0.511978,"[2,47,0,221,26]"
11,11,289,0.48859,"[1,43,0,220,25]"
12,12,201,0.392193,"[0,27,0,164,10]"
13,13,193,0.378936,"[0,24,0,159,10]"
14,14,29,0.558859,"[0,8,0,20,1]"
15,15,9,0,"[0,0,0,9,0]"
16,15,20,0.66875,"[0,8,0,11,1]"
17,16,18,0.640432,"[0,6,0,11,1]"
18,17,1,0,"[0,1,0,0,0]"
19,17,17,0.614187,"[0,5,0,11,1]"
20,18,10,0.225,"[0,0,0,9,1]"
21,18,7,0.510204,"[0,5,0,2,0]"
22,16,2,0,"[0,2,0,0,0]"
23,14,164,0.336388,"[0,16,0,139,9]"
24,15,122,0.292932,"[0,12,0,106,4]"
25,16,115,0.256333,"[0,10,0,102,3]"
26,17,109,0.172544,"[0,6,0,101,2]"
27,18,107,0.132326,"[0,6,0,101,0]"
28,19,41,0.0594885,"[0,1,0,40,0]"
29,20,18,0.131173,"[0,1,0,17,0]"
30,21,15,0.155555,"[0,1,0,14,0]"
31,22,7,0,"[0,0,0,7,0]"
32,22,8,0.273438,"[0,1,0,7,0]"
33,21,3,0,"[0,0,0,3,0]"
34,20,23,0,"[0,0,0,23,0]"
35,19,66,0.175046,"[0,5,0,61,0]"
36,20,1,0,"[0,1,0,0,0]"
37,20,65,0.144379,"[0,4,0,61,0]"
38,21,63,0.113379,"[0,3,0,60,0]"
39,22,56,0,"[0,0,0,56,0]"
40,22,7,0.612245,"[0,3,0,4,0]"
41,21,2,0.625,"[0,1,0,1,0]"
42,18,2,0,"[0,0,0,0,2]"
43,17,6,0.625,"[0,4,0,1,1]"
44,16,7,0.714286,"[0,2,0,4,1]"
45,15,42,0.449263,"[0,4,0,33,5]"
46,16,31,0.153486,"[0,1,0,29,1]"
47,17,1,0,"[0,0,0,0,1]"
48,17,30,0.0805555,"[0,1,0,29,0]"
49,18,23,0,"[0,0,0,23,0]"
50,18,7,0.306122,"[0,1,0,6,0]"
51,16,11,0.826446,"[0,3,0,4,4]"
52,17,4,0,"[0,0,0,4,0]"
53,17,7,0.612245,"[0,3,0,0,4]"
54,13,8,0.585938,"[0,3,0,5,0]"
55,12,88,0.666,"[1,16,0,56,15]"
56,13,42,0.778061,"[0,9,0,21,12]"
57,14,9,0.709877,"[0,5,0,1,3]"
58,14,33,0.679522,"[0,4,0,20,9]"
59,15,32,0.651855,"[0,3,0,20,9]"
60,16,26,0.588018,"[0,3,0,18,5]"
61,17,15,0.555556,"[0,0,0,10,5]"
62,18,9,0.246914,"[0,0,0,8,1]"
63,18,6,0.555556,"[0,0,0,2,4]"
64,17,11,0.495868,"[0,3,0,8,0]"
65,18,2,0,"[0,2,0,0,0]"
66,18,9,0.246914,"[0,1,0,8,0]"
67,16,6,0.555556,"[0,0,0,2,4]"
68,15,1,0,"[0,1,0,0,0]"
69,13,46,0.491493,"[1,7,0,35,3]"
70,14,23,0.6569,"[1,4,0,15,3]"
71,15,5,0,"[0,0,0,5,0]"
72,15,18,0.763889,"[1,4,0,10,3]"
73,16,11,0.371901,"[0,2,0,9,0]"
74,17,6,0,"[0,0,0,6,0]"
