id,depth,n_node_samples,impurity,value
0,0,13321,0.999938,"[2706,2695,2692,2601,2627]"
1,1,10024,0.979468,"[2019,2374,896,2471,2264]"
2,2,1587,0.967134,"[467,347,259,130,384]"
3,3,1014,0.965896,"[194,172,222,98,328]"
4,4,228,0.944137,"[74,29,63,15,47]"
5,5,209,0.950127,"[70,29,48,15,47]"
6,6,24,0.833333,"[6,2,2,2,12]"
7,7,17,0.596886,"[1,1,1,2,12]"
8,8,3,0.555556,"[0,1,0,2,0]"
9,8,14,0.318877,"[1,0,1,0,12]"
10,9,13,0.177515,"[1,0,0,0,12]"
11,10,10,0,"[0,0,0,0,10]"
12,10,3,0.555556,"[1,0,0,0,2]"
13,9,1,0,"[0,0,1,0,0]"
14,7,7,0.561225,"[5,1,1,0,0]"
15,6,185,0.945581,"[64,27,46,13,35]"
16,7,56,0.974968,"[9,11,10,8,18]"
17,8,51,0.954441,"[5,11,9,8,18]"
18,9,46,0.925095,"[4,11,5,8,18]"
19,10,41,0.956276,"[4,11,5,8,13]"
20,11,17,0.795848,"[1,8,0,2,6]"
21,12,10,0.4,"[0,8,0,2,0]"
22,12,7,0.306122,"[1,0,0,0,6]"
23,11,24,0.972222,"[3,3,5,6,7]"
24,12,22,0.960744,"[3,3,3,6,7]"
25,13,16,0.849609,"[0,1,3,6,6]"
26,14,7,0.714286,"[0,1,0,2,4]"
27,14,9,0.802469,"[0,0,3,4,2]"
28,13,6,0.763889,"[3,2,0,0,1]"
29,12,2,0,"[0,0,2,0,0]"
30,10,5,0,"[0,0,0,0,5]"
31,9,5,0.4,"[1,0,4,0,0]"
32,8,5,0.4,"[4,0,1,0,0]"
33,7,129,0.882609,"[55,16,36,5,17]"
34,8,109,0.87177,"[45,8,35,5,16]"
35,9,76,0.917157,"[18,8,30,5,15]"
36,10,70,0.936735,"[17,8,25,5,15]"
37,11,63,0.95679,"[16,8,19,5,15]"
38,12,29,0.82937,"[1,3,13,2,10]"
39,13,22,0.774793,"[1,1,9,1,10]"
40,14,14,0.688775,"[1,1,2,1,9]"
41,15,1,0,"[0,0,1,0,0]"
42,15,13,0.621302,"[1,1,1,1,9]"
43,16,6,0.347222,"[0,0,1,0,5]"
44,16,7,0.765306,"[1,1,0,1,4]"
45,14,8,0.273438,"[0,0,7,0,1]"
46,13,7,0.714286,"[0,2,4,1,0]"
47,12,34,0.903979,"[15,5,6,3,5]"
48,13,13,0.91716,"[4,0,3,2,4]"
49,14,2,0,"[0,0,2,0,0]"
50,14,11,0.867769,"[4,0,1,2,4]"
51,15,9,0.740741,"[4,0,1,0,4]"
52,15,2,0,"[0,0,0,2,0]"
53,13,21,0.804989,"[11,5,3,1,1]"
54,14,7,0.306122,"[6,1,0,0,0]"
55,14,14,0.918367,"[5,4,3,1,1]"
56,15,9,0.771605,"[5,1,2,0,1]"
57,15,5,0.7,"[0,3,1,1,0]"
58,11,7,0.306122,"[1,0,6,0,0]"
59,10,6,0.347222,"[1,0,5,0,0]"
60,9,33,0.383379,"[27,0,5,0,1]"
61,10,19,0.512465,"[14,0,4,0,1]"
62,11,15,0.3,"[13,0,1,0,1]"
63,12,14,0.165816,"[13,0,1,0,0]"
64,13,8,0,"[8,0,0,0,0]"
65,13,6,0.347222,"[5,0,1,0,0]"
66,12,1,0,"[0,0,0,0,1]"
67,11,4,0.46875,"[1,0,3,0,0]"
68,10,14,0.165816,"[13,0,1,0,0]"
69,11,7,0.306122,"[6,0,1,0,0]"
70,11,7,0,"[7,0,0,0,0]"
71,8,20,0.73125,"[10,8,1,0,1]"
72,9,8,0,"[0,8,0,0,0]"
73,9,12,0.364583,"[10,0,1,0,1]"
74,10,2,0.625,"[1,0,1,0,0]"
75,10,10,0.225,"[9,0,0,0,1]"
76,5,19,0.415512,"[4,0,15,0,0]"
77,6,1,0,"[1,0,0,0,0]"
78,6,18,0.347222,"[3,0,15,0,0]"
79,7,16,0.146484,"[1,0,15,0,0]"
80,8,11,0,"[0,0,11,0,0]"
81,8,5,0.4,"[1,0,4,0,0]"
82,7,2,0,"[2,0,0,0,0]"
83,4,786,0.954636,"[120,143,159,83,281]"
84,5,132,0.961318,"[40,20,30,10,32]"
85,6,61,0.915077,"[4,19,6,10,22]"
86,7,52,0.914386,"[4,12,5,10,21]"
87,8,12,0.190972,"[0,11,0,1,0]"
88,9,9,0,"[0,9,0,0,0]"
89,9,3,0.555556,"[0,2,0,1,0]"
90,8,40,0.809375,"[4,1,5,9,21]"
91,9,36,0.756173,"[3,1,5,6,21]"
92,10,1,0,"[0,0,0,1,0]"
93,10,35,0.738775,"[3,1,5,5,21]"
94,11,22,0.614669,"[2,0,1,4,15]"
95,12,19,0.512465,"[1,0,0,4,14]"
