id,depth,n_node_samples,impurity,value
0,0,13369,0.999963,"[2616,2712,2666,2681,2694]"
1,1,11825,0.999024,"[2118,2272,2454,2484,2497]"
2,2,11818,0.999008,"[2117,2266,2454,2484,2497]"
3,3,11682,0.998266,"[1985,2265,2451,2484,2497]"
4,4,6838,0.878624,"[423,2204,85,2473,1653]"
5,5,6727,0.878103,"[409,2131,85,2460,1642]"
6,6,6061,0.877973,"[340,1834,81,2223,1583]"
7,7,4434,0.821333,"[60,995,32,1944,1403]"
8,8,3184,0.715462,"[12,967,5,1800,400]"
9,9,2502,0.677126,"[6,764,2,1493,237]"
10,10,2302,0.651647,"[2,652,1,1438,209]"
11,11,1949,0.640435,"[2,537,1,1239,170]"
12,12,1654,0.617957,"[1,434,1,1085,133]"
13,13,1236,0.584056,"[1,301,1,846,87]"
14,14,1207,0.575979,"[0,288,1,834,84]"
15,15,1123,0.486576,"[0,288,0,829,6]"
16,16,303,0.563725,"[0,102,0,200,1]"
17,17,241,0.518199,"[0,69,0,171,1]"
18,18,54,0.611283,"[0,23,0,31,0]"
19,19,41,0.621654,"[0,22,0,19,0]"
20,20,36,0.607639,"[0,21,0,15,0]"
21,21,29,0.564804,"[0,19,0,10,0]"
22,22,22,0.43905,"[0,17,0,5,0]"
23,23,15,0.555556,"[0,10,0,5,0]"
24,24,2,0,"[0,0,0,2,0]"
25,24,13,0.443787,"[0,10,0,3,0]"
26,25,10,0,"[0,10,0,0,0]"
27,25,3,0,"[0,0,0,3,0]"
28,23,7,0,"[0,7,0,0,0]"
29,22,7,0.510204,"[0,2,0,5,0]"
30,21,7,0.510204,"[0,2,0,5,0]"
31,20,5,0.4,"[0,1,0,4,0]"
32,19,13,0.177515,"[0,1,0,12,0]"
33,20,1,0,"[0,1,0,0,0]"
34,20,12,0,"[0,0,0,12,0]"
35,18,187,0.473705,"[0,46,0,140,1]"
36,19,125,0.51264,"[0,36,0,89,0]"
37,20,123,0.500033,"[0,34,0,89,0]"
38,21,46,0.620274,"[0,21,0,25,0]"
39,22,43,0.624662,"[0,21,0,22,0]"
40,23,39,0.614727,"[0,17,0,22,0]"
41,24,17,0,"[0,17,0,0,0]"
42,24,22,0,"[0,0,0,22,0]"
43,23,4,0,"[0,4,0,0,0]"
44,22,3,0,"[0,0,0,3,0]"
45,21,77,0.350818,"[0,13,0,64,0]"
46,22,58,0.231867,"[0,6,0,52,0]"
47,23,52,0,"[0,0,0,52,0]"
48,23,6,0,"[0,6,0,0,0]"
49,22,19,0.581717,"[0,7,0,12,0]"
50,23,16,0.615234,"[0,7,0,9,0]"
51,24,6,0,"[0,6,0,0,0]"
52,24,10,0.225,"[0,1,0,9,0]"
53,23,3,0,"[0,0,0,3,0]"
54,20,2,0,"[0,2,0,0,0]"
55,19,62,0.371358,"[0,10,0,51,1]"
56,20,5,0,"[0,5,0,0,0]"
57,20,57,0.239304,"[0,5,0,51,1]"
58,21,14,0.420918,"[0,3,0,11,0]"
59,22,9,0.555556,"[0,3,0,6,0]"
60,22,5,0,"[0,0,0,5,0]"
61,21,43,0.164954,"[0,2,0,40,1]"
62,22,13,0.325444,"[0,2,0,11,0]"
63,23,11,0,"[0,0,0,11,0]"
64,23,2,0,"[0,2,0,0,0]"
65,22,30,0.0805555,"[0,0,0,29,1]"
66,23,7,0.306122,"[0,0,0,6,1]"
67,23,23,0,"[0,0,0,23,0]"
68,17,62,0.622399,"[0,33,0,29,0]"
69,18,41,0.541345,"[0,28,0,13,0]"
70,19,30,0.6,"[0,18,0,12,0]"
71,20,3,0,"[0,3,0,0,0]"
72,20,27,0.617284,"[0,15,0,12,0]"
73,21,15,0,"[0,15,0,0,0]"
74,21,12,0,"[0,0,0,12,0]"
75,19,11,0.206611,"[0,10,0,1,0]"
76,20,8,0,"[0,8,0,0,0]"
77,20,3,0.555556,"[0,2,0,1,0]"
78,18,21,0.453515,"[0,5,0,16,0]"
79,19,20,0.4,"[0,4,0,16,0]"
80,20,19,0.33241,"[0,3,0,16,0]"
81,21,8,0.585938,"[0,3,0,5,0]"
82,21,11,0,"[0,0,0,11,0]"
83,20,1,0,"[0,1,0,0,0]"
84,19,1,0,"[0,1,0,0,0]"
85,16,820,0.450138,"[0,186,0,629,5]"
86,17,173,0.161382,"[0,161,0,12,0]"
87,18,162,0.171468,"[0,150,0,12,0]"
88,19,133,0.0729267,"[0,129,0,4,0]"
89,20,129,0,"[0,129,0,0,0]"
90,20,4,0,"[0,0,0,4,0]"
91,19,29,0.499406,"[0,21,0,8,0]"
92,20,15,0.6,"[0,9,0,6,0]"
93,21,10,0.4,"[0,8,0,2,0]"
94,21,5,0.4,"[0,1,0,4,0]"
95,20,14,0.306122,"[0,12,0,2,0]"
96,21,9,0.432099,"[0,7,0,2,0]"
97,21,5,0,"[0,5,0,0,0]"
98,18,11,0,"[0,11,0,0,0]"
99,17,647,0.111291,"[0,25,0,617,5]"
100,18,646,0.10779,"[0,25,0,617,4]"
101,19,76,0.209055,"[0,7,0,69,0]"
102,20,56,0.0860969,"[0,2,0,54,0]"
103,21,54,0.0454389,"[0,1,0,53,0]"
104,22,27,0.0891632,"[0,1,0,26,0]"
105,23,13,0,"[0,0,0,13,0]"
106,23,14,0.165816,"[0,1,0,13,0]"
107,24,13,0,"[0,0,0,13,0]"
108,24,1,0,"[0,1,0,0,0]"
109,22,27,0,"[0,0,0,27,0]"
110,21,2,0.625,"[0,1,0,1,0]"
111,20,20,0.46875,"[0,5,0,15,0]"
112,21,18,0.347222,"[0,3,0,15,0]"
113,22,13,0,"[0,0,0,13,0]"
