id,depth,n_node_samples,impurity,value
0,0,13400,0.999987,"[2687,2662,2712,2660,2679]"
1,1,9576,0.969178,"[886,1337,2500,2390,2463]"
2,2,6038,0.805671,"[874,36,2500,198,2430]"
3,3,5507,0.769405,"[522,25,2364,196,2400]"
4,4,5445,0.7681,"[513,24,2347,190,2371]"
5,5,470,0.820881,"[115,3,110,18,224]"
6,6,293,0.587543,"[9,0,66,16,202]"
7,7,102,0.692282,"[4,0,29,8,61]"
8,8,68,0.409278,"[0,0,6,7,55]"
9,9,61,0.356759,"[0,0,3,7,51]"
10,10,60,0.33125,"[0,0,3,6,51]"
11,11,13,0.710059,"[0,0,1,6,6]"
12,12,3,0.555556,"[0,0,1,2,0]"
13,12,10,0.6,"[0,0,0,4,6]"
14,11,47,0.101856,"[0,0,2,0,45]"
15,12,2,0,"[0,0,2,0,0]"
16,12,45,0,"[0,0,0,0,45]"
17,10,1,0,"[0,0,0,1,0]"
18,9,7,0.612245,"[0,0,3,0,4]"
19,8,34,0.620675,"[4,0,23,1,6]"
20,9,30,0.675,"[4,0,19,1,6]"
21,10,10,0.675,"[3,0,0,1,6]"
22,10,20,0.11875,"[1,0,19,0,0]"
23,11,14,0,"[0,0,14,0,0]"
24,11,6,0.347222,"[1,0,5,0,0]"
25,9,4,0,"[0,0,4,0,0]"
26,7,191,0.518832,"[5,0,37,8,141]"
27,8,155,0.432987,"[3,0,23,6,123]"
28,9,148,0.379839,"[2,0,18,6,122]"
29,10,130,0.181805,"[1,0,4,5,120]"
30,11,64,0,"[0,0,0,0,64]"
31,11,66,0.338039,"[1,0,4,5,56]"
32,12,2,0,"[0,0,0,2,0]"
33,12,64,0.285034,"[1,0,4,3,56]"
34,13,4,0.625,"[0,0,0,2,2]"
35,13,60,0.23125,"[1,0,4,1,54]"
36,14,5,0.4,"[1,0,4,0,0]"
37,14,55,0.0446282,"[0,0,0,1,54]"
38,15,21,0.113379,"[0,0,0,1,20]"
39,16,2,0.625,"[0,0,0,1,1]"
40,16,19,0,"[0,0,0,0,19]"
41,15,34,0,"[0,0,0,0,34]"
42,10,18,0.470679,"[1,0,14,1,2]"
43,11,6,0.625,"[1,0,4,0,1]"
44,11,12,0.364583,"[0,0,10,1,1]"
45,12,9,0.246914,"[0,0,8,0,1]"
46,12,3,0.555556,"[0,0,2,1,0]"
47,9,7,0.561225,"[1,0,5,0,1]"
48,8,36,0.740741,"[2,0,14,2,18]"
49,9,6,0.625,"[1,0,4,0,1]"
50,9,30,0.702778,"[1,0,10,2,17]"
51,10,29,0.665874,"[0,0,10,2,17]"
52,11,24,0.559896,"[0,0,5,2,17]"
53,12,21,0.408163,"[0,0,2,2,17]"
54,13,7,0.510204,"[0,0,0,2,5]"
55,13,14,0.306122,"[0,0,2,0,12]"
56,14,13,0.177515,"[0,0,1,0,12]"
57,15,12,0,"[0,0,0,0,12]"
58,15,1,0,"[0,0,1,0,0]"
59,14,1,0,"[0,0,1,0,0]"
60,12,3,0,"[0,0,3,0,0]"
61,11,5,0,"[0,0,5,0,0]"
62,10,1,0,"[1,0,0,0,0]"
63,6,177,0.704619,"[106,3,44,2,22]"
64,7,167,0.69669,"[102,3,38,2,22]"
65,8,26,0.75074,"[6,2,1,2,15]"
66,9,25,0.716,"[6,2,1,1,15]"
67,10,11,0.805785,"[5,1,0,1,4]"
68,11,5,0.7,"[0,1,0,1,3]"
69,11,6,0.347222,"[5,0,0,0,1]"
70,10,14,0.459184,"[1,1,1,0,11]"
71,11,2,0.625,"[0,1,1,0,0]"
72,11,12,0.190972,"[1,0,0,0,11]"
73,12,10,0,"[0,0,0,0,10]"
74,12,2,0.625,"[1,0,0,0,1]"
75,9,1,0,"[0,0,0,1,0]"
76,8,141,0.581334,"[96,1,37,0,7]"
77,9,115,0.452363,"[90,1,17,0,7]"
78,10,5,0.6,"[2,0,0,0,3]"
79,10,110,0.418388,"[88,1,17,0,4]"
80,11,7,0,"[0,0,7,0,0]"
81,11,103,0.323782,"[88,1,10,0,4]"
82,12,15,0.688889,"[9,0,2,0,4]"
83,13,6,0.347222,"[5,0,0,0,1]"
84,13,9,0.802469,"[4,0,2,0,3]"
85,12,88,0.232115,"[79,1,8,0,0]"
86,13,50,0.0490001,"[49,0,1,0,0]"
87,14,36,0,"[36,0,0,0,0]"
88,14,14,0.165816,"[13,0,1,0,0]"
89,15,7,0,"[7,0,0,0,0]"
90,15,7,0.306122,"[6,0,1,0,0]"
91,13,38,0.427631,"[30,1,7,0,0]"
92,14,37,0.394449,"[30,1,6,0,0]"
93,15,17,0.138408,"[16,0,1,0,0]"
94,16,16,0,"[16,0,0,0,0]"
95,16,1,0,"[0,0,1,0,0]"
96,15,20,0.55625,"[14,1,5,0,0]"
97,16,16,0.634766,"[10,1,5,0,0]"
98,17,13,0.576923,"[9,1,3,0,0]"
99,18,11,0.371901,"[9,0,2,0,0]"
100,19,4,0.625,"[2,0,2,0,0]"
101,19,7,0,"[7,0,0,0,0]"
102,18,2,0.625,"[0,1,1,0,0]"
103,17,3,0.555556,"[1,0,2,0,0]"
104,16,4,0,"[4,0,0,0,0]"
105,14,1,0,"[0,0,1,0,0]"
106,9,26,0.443787,"[6,0,20,0,0]"
107,10,17,0.363322,"[3,0,14,0,0]"
108,11,5,0.6,"[2,0,3,0,0]"
109,11,12,0.190972,"[1,0,11,0,0]"
110,12,1,0,"[1,0,0,0,0]"
111,12,11,0,"[0,0,11,0,0]"
112,10,9,0.555556,"[3,0,6,0,0]"
113,7,10,0.6,"[4,0,6,0,0]"
114,5,4975,0.754952,"[398,21,2237,172,2147]"
115,6,2560,0.465524,"[160,21,204,171,2004]"
116,7,2509,0.455446,"[140,21,200,170,1978]"
117,8,2428,0.44144,"[127,21,177,170,1933]"
118,9,718,0.700176,"[70,12,117,68,451]"
119,10,433,0.762325,"[45,9,75,54,250]"
120,11,430,0.760871,"[45,9,73,54,249]"
121,12,428,0.75749,"[43,9,73,54,249]"
122,13,107,0.783693,"[4,3,9,49,42]"
123,14,96,0.694444,"[2,3,1,49,41]"
124,15,26,0.66568,"[1,3,1,4,17]"
125,16,5,0.9,"[0,1,1,1,2]"
126,16,21,0.572562,"[1,2,0,3,15]"
127,17,19,0.526316,"[0,2,0,3,14]"
128,18,5,0,"[0,0,0,0,5]"
129,18,14,0.65051,"[0,2,0,3,9]"
130,19,2,0,"[0,2,0,0,0]"
131,19,12,0.46875,"[0,0,0,3,9]"
132,20,1,0,"[0,0,0,1,0]"
133,20,11,0.371901,"[0,0,0,2,9]"
134,21,1,0,"[0,0,0,1,0]"
135,21,10,0.225,"[0,0,0,1,9]"
136,17,2,0.625,"[1,0,0,0,1]"
137,15,70,0.586224,"[1,0,0,45,24]"
138,16,19,0,"[0,0,0,19,0]"
139,16,51,0.647828,"[1,0,0,26,24]"
140,17,33,0.640496,"[1,0,0,13,19]"
141,18,32,0.603027,"[0,0,0,13,19]"
142,19,8,0.273438,"[0,0,0,1,7]"
143,19,24,0.625,"[0,0,0,12,12]"
144,20,16,0.585938,"[0,0,0,10,6]"
145,21,9,0.432099,"[0,0,0,7,2]"
146,21,7,0.612245,"[0,0,0,3,4]"
147,20,8,0.46875,"[0,0,0,2,6]"
148,18,1,0,"[1,0,0,0,0]"
149,17,18,0.501543,"[0,0,0,13,5]"
150,18,1,0,"[0,0,0,0,1]"
151,18,17,0.449827,"[0,0,0,13,4]"
152,19,1,0,"[0,0,0,0,1]"
153,19,16,0.380859,"[0,0,0,13,3]"
154,20,12,0,"[0,0,0,12,0]"
155,20,4,0.46875,"[0,0,0,1,3]"
156,14,11,0.53719,"[2,0,8,0,1]"
157,15,6,0.763889,"[2,0,3,0,1]"
158,15,5,0,"[0,0,5,0,0]"
159,13,321,0.661314,"[39,6,64,5,207]"
160,14,265,0.534603,"[33,6,25,5,196]"
161,15,259,0.506887,"[31,6,21,5,196]"
162,16,212,0.458737,"[22,3,20,1,166]"
163,17,73,0.576562,"[9,2,9,1,52]"
164,18,12,0.78125,"[3,0,6,0,3]"
165,19,1,0,"[1,0,0,0,0]"
166,19,11,0.743802,"[2,0,6,0,3]"
167,20,5,0.6,"[0,0,2,0,3]"
168,20,6,0.555556,"[2,0,4,0,0]"
169,18,61,0.426633,"[6,2,3,1,49]"
170,19,5,0.6,"[2,0,0,0,3]"
171,19,56,0.394611,"[4,2,3,1,46]"
172,20,1,0,"[0,0,1,0,0]"
173,20,55,0.365289,"[4,2,2,1,46]"
174,21,48,0.243055,"[1,2,1,1,43]"
175,22,4,0.78125,"[1,0,1,0,2]"
176,22,44,0.161415,"[0,2,0,1,41]"
177,23,35,0,"[0,0,0,0,35]"
178,23,9,0.617284,"[0,2,0,1,6]"
179,21,7,0.765306,"[3,0,1,0,3]"
180,17,139,0.390378,"[13,1,11,0,114]"
181,18,4,0.46875,"[0,0,3,0,1]"
182,18,135,0.358162,"[13,1,8,0,113]"
183,19,117,0.254219,"[8,0,5,0,104]"
184,20,85,0.315225,"[7,0,5,0,73]"
185,21,84,0.295139,"[6,0,5,0,73]"
186,22,4,0.625,"[2,0,0,0,2]"
187,22,80,0.257422,"[4,0,5,0,71]"
188,23,25,0,"[0,0,0,0,25]"
189,23,55,0.358678,"[4,0,5,0,46]"
190,24,29,0.546968,"[4,0,4,0,21]"
191,25,11,0.206611,"[0,0,1,0,10]"
192,26,1,0,"[0,0,1,0,0]"
193,26,10,0,"[0,0,0,0,10]"
194,25,18,0.686728,"[4,0,3,0,11]"
195,26,2,0,"[0,0,2,0,0]"
196,26,16,0.576172,"[4,0,1,0,11]"
197,27,7,0.765306,"[3,0,1,0,3]"
198,27,9,0.246914,"[1,0,0,0,8]"
199,24,26,0.0924556,"[0,0,1,0,25]"
200,25,10,0.225,"[0,0,1,0,9]"
201,25,16,0,"[0,0,0,0,16]"
202,21,1,0,"[1,0,0,0,0]"
203,20,32,0.0756836,"[1,0,0,0,31]"
204,21,14,0.165816,"[1,0,0,0,13]"
205,22,6,0.347222,"[1,0,0,0,5]"
206,22,8,0,"[0,0,0,0,8]"
207,21,18,0,"[0,0,0,0,18]"
208,19,18,0.802469,"[5,1,3,0,9]"
209,20,3,0,"[0,0,0,0,3]"
210,20,15,0.855555,"[5,1,3,0,6]"
211,21,13,0.843195,"[3,1,3,0,6]"
212,22,11,0.88843,"[3,1,3,0,4]"
213,23,7,0.765306,"[1,1,1,0,4]"
214,23,4,0.625,"[2,0,2,0,0]"
