id,depth,n_node_samples,impurity,value
0,0,13298,0.999971,"[2700,2681,2630,2661,2626]"
1,1,13030,0.999804,"[2463,2655,2625,2661,2626]"
2,2,9912,0.991594,"[1699,1968,2339,1478,2428]"
3,3,9895,0.99152,"[1699,1954,2339,1475,2428]"
4,4,8419,0.985543,"[1146,1626,2087,1364,2196]"
5,5,7467,0.971956,"[671,1466,1861,1333,2136]"
6,6,6884,0.960715,"[440,1368,1715,1285,2076]"
7,7,3332,0.89977,"[134,773,341,720,1364]"
8,8,3292,0.897557,"[130,754,335,713,1360]"
9,9,2748,0.893132,"[83,667,240,654,1104]"
10,10,888,0.891964,"[16,175,102,236,359]"
11,11,421,0.68232,"[2,174,0,223,22]"
12,12,12,0.190972,"[0,1,0,11,0]"
13,13,2,0.625,"[0,1,0,1,0]"
14,13,10,0,"[0,0,0,10,0]"
15,12,409,0.686868,"[2,173,0,212,22]"
16,13,4,0,"[0,0,0,4,0]"
17,13,405,0.688493,"[2,173,0,208,22]"
18,14,32,0.578613,"[1,22,0,8,1]"
19,15,13,0,"[0,13,0,0,0]"
20,15,19,0.740997,"[1,9,0,8,1]"
21,16,18,0.686728,"[0,9,0,8,1]"
22,17,12,0.607639,"[0,3,0,8,1]"
23,18,5,0,"[0,0,0,5,0]"
24,18,7,0.765306,"[0,3,0,3,1]"
25,17,6,0,"[0,6,0,0,0]"
26,16,1,0,"[1,0,0,0,0]"
27,14,373,0.681795,"[1,151,0,200,21]"
28,15,372,0.679107,"[1,151,0,200,20]"
29,16,7,0.714286,"[0,4,0,1,2]"
30,16,365,0.67264,"[1,147,0,199,18]"
31,17,139,0.466203,"[0,105,0,33,1]"
32,18,49,0.603915,"[0,29,0,20,0]"
33,19,46,0.582467,"[0,29,0,17,0]"
34,20,17,0.449827,"[0,13,0,4,0]"
35,21,15,0.288889,"[0,13,0,2,0]"
36,22,6,0.555556,"[0,4,0,2,0]"
37,22,9,0,"[0,9,0,0,0]"
38,21,2,0,"[0,0,0,2,0]"
39,20,29,0.618312,"[0,16,0,13,0]"
40,21,7,0.306122,"[0,6,0,1,0]"
41,21,22,0.619835,"[0,10,0,12,0]"
42,22,10,0.4,"[0,8,0,2,0]"
43,22,12,0.347222,"[0,2,0,10,0]"
44,23,10,0.225,"[0,1,0,9,0]"
45,23,2,0.625,"[0,1,0,1,0]"
46,19,3,0,"[0,0,0,3,0]"
47,18,90,0.332407,"[0,76,0,13,1]"
48,19,3,0.833333,"[0,1,0,1,1]"
49,19,87,0.297265,"[0,75,0,12,0]"
50,20,73,0.343404,"[0,61,0,12,0]"
51,21,68,0.259515,"[0,60,0,8,0]"
52,22,57,0.0846414,"[0,55,0,2,0]"
53,23,9,0.246914,"[0,8,0,1,0]"
54,23,48,0.0509982,"[0,47,0,1,0]"
55,24,39,0,"[0,39,0,0,0]"
56,24,9,0.246914,"[0,8,0,1,0]"
