id,depth,n_node_samples,impurity,value
0,0,13318,0.999941,"[2679,2649,2694,2705,2591]"
1,1,12477,0.997369,"[1997,2528,2672,2691,2589]"
2,2,5687,0.767173,"[234,2418,109,2535,391]"
3,3,3539,0.716149,"[122,2015,76,1104,222]"
4,4,3261,0.724452,"[108,1816,69,1054,214]"
5,5,899,0.835946,"[39,451,68,167,174]"
6,6,644,0.863628,"[28,298,49,131,138]"
7,7,326,0.632998,"[3,202,0,107,14]"
8,8,264,0.560649,"[1,181,0,75,7]"
9,9,257,0.545769,"[1,180,0,69,7]"
10,10,203,0.499709,"[1,150,0,47,5]"
11,11,98,0.691639,"[1,50,0,42,5]"
12,12,84,0.639527,"[1,42,0,41,0]"
13,13,39,0.333662,"[1,33,0,5,0]"
14,14,30,0.230556,"[1,27,0,2,0]"
15,15,29,0.160523,"[0,27,0,2,0]"
16,16,21,0,"[0,21,0,0,0]"
17,16,8,0.46875,"[0,6,0,2,0]"
18,15,1,0,"[1,0,0,0,0]"
19,14,9,0.555556,"[0,6,0,3,0]"
20,13,45,0.4,"[0,9,0,36,0]"
21,14,38,0.181787,"[0,3,0,35,0]"
22,15,28,0,"[0,0,0,28,0]"
23,15,10,0.525,"[0,3,0,7,0]"
24,14,7,0.306122,"[0,6,0,1,0]"
25,12,14,0.67602,"[0,8,0,1,5]"
26,13,4,0.46875,"[0,3,0,1,0]"
27,13,10,0.625,"[0,5,0,0,5]"
28,11,105,0.113379,"[0,100,0,5,0]"
29,12,102,0.0941944,"[0,98,0,4,0]"
30,13,100,0.0727501,"[0,97,0,3,0]"
31,14,41,1.49012e-7,"[0,41,0,0,0]"
32,14,59,0.120655,"[0,56,0,3,0]"
33,15,47,0.0520599,"[0,46,0,1,0]"
34,16,38,0,"[0,38,0,0,0]"
35,16,9,0.246914,"[0,8,0,1,0]"
36,15,12,0.347222,"[0,10,0,2,0]"
37,16,8,0.46875,"[0,6,0,2,0]"
38,16,4,0,"[0,4,0,0,0]"
39,13,2,0.625,"[0,1,0,1,0]"
40,12,3,0.555556,"[0,2,0,1,0]"
41,10,54,0.655007,"[0,30,0,22,2]"
42,11,22,0.108471,"[0,21,0,1,0]"
43,12,2,0.625,"[0,1,0,1,0]"
44,12,20,0,"[0,20,0,0,0]"
45,11,32,0.60791,"[0,9,0,21,2]"
46,12,25,0.4,"[0,5,0,20,0]"
47,13,6,0.625,"[0,3,0,3,0]"
48,13,19,0.235457,"[0,2,0,17,0]"
49,14,7,0.510204,"[0,2,0,5,0]"
50,14,12,0,"[0,0,0,12,0]"
51,12,7,0.714286,"[0,4,0,1,2]"
52,9,7,0.306122,"[0,1,0,6,0]"
53,8,62,0.756374,"[2,21,0,32,7]"
54,9,36,0.596065,"[1,4,0,25,6]"
55,10,31,0.528096,"[1,4,0,23,3]"
56,11,30,0.488889,"[1,3,0,23,3]"
57,12,28,0.389031,"[1,3,0,23,1]"
58,13,11,0.640496,"[0,3,0,7,1]"
59,14,8,0.273438,"[0,1,0,7,0]"
60,14,3,0.555556,"[0,2,0,0,1]"
61,13,17,0.138408,"[1,0,0,16,0]"
62,14,7,0.306122,"[1,0,0,6,0]"
63,14,10,0,"[0,0,0,10,0]"
64,12,2,0,"[0,0,0,0,2]"
65,11,1,0,"[0,1,0,0,0]"
66,10,5,0.6,"[0,0,0,2,3]"
67,9,26,0.621302,"[1,17,0,7,1]"
68,10,9,0.246914,"[0,8,0,1,0]"
69,10,17,0.735294,"[1,9,0,6,1]"
70,11,11,0.392562,"[0,9,0,1,1]"
71,12,5,0,"[0,5,0,0,0]"
72,12,6,0.625,"[0,4,0,1,1]"
73,11,6,0.347222,"[1,0,0,5,0]"
74,7,318,0.901492,"[25,96,49,24,124]"
75,8,213,0.755582,"[20,14,49,8,122]"
76,9,203,0.712648,"[18,9,49,5,122]"
77,10,155,0.554318,"[12,7,20,3,113]"
78,11,10,0.975,"[3,2,2,2,1]"
79,11,145,0.478597,"[9,5,18,1,112]"
80,12,112,0.32087,"[9,5,1,1,96]"
81,13,1,0,"[0,1,0,0,0]"
82,13,111,0.304967,"[9,4,1,1,96]"
83,14,107,0.275352,"[9,3,1,0,94]"
84,15,103,0.224574,"[7,2,1,0,93]"
85,16,84,0.0868056,"[2,0,1,0,81]"
86,17,49,0.0499791,"[0,0,1,0,48]"
87,18,22,0,"[0,0,0,0,22]"
88,18,27,0.0891632,"[0,0,1,0,26]"
89,19,26,0,"[0,0,0,0,26]"
90,19,1,0,"[0,0,1,0,0]"
91,17,35,0.134694,"[2,0,0,0,33]"
92,18,32,0,"[0,0,0,0,32]"
93,18,3,0.555556,"[2,0,0,0,1]"
94,16,19,0.65097,"[5,2,0,0,12]"
95,17,17,0.553633,"[4,1,0,0,12]"
96,18,7,0,"[0,0,0,0,7]"
97,18,10,0.725,"[4,1,0,0,5]"
98,17,2,0.625,"[1,1,0,0,0]"
99,15,4,0.78125,"[2,1,0,0,1]"
100,14,4,0.78125,"[0,1,0,1,2]"
101,12,33,0.624426,"[0,0,17,0,16]"
102,13,11,0.371901,"[0,0,2,0,9]"
103,14,2,0.625,"[0,0,1,0,1]"
104,14,9,0.246914,"[0,0,1,0,8]"
105,13,22,0.542355,"[0,0,15,0,7]"
106,14,7,0,"[0,0,0,0,7]"
107,14,15,0,"[0,0,15,0,0]"
108,10,48,0.725911,"[6,2,29,2,9]"
109,11,4,0.46875,"[0,0,0,1,3]"
110,11,44,0.657283,"[6,2,29,1,6]"
111,12,8,0.859375,"[1,1,1,1,4]"
112,12,36,0.464892,"[5,1,28,0,2]"
113,13,1,0,"[1,0,0,0,0]"
114,13,35,0.428571,"[4,1,28,0,2]"
115,14,6,0.555556,"[2,0,4,0,0]"
116,14,29,0.380499,"[2,1,24,0,2]"
117,15,28,0.322066,"[1,1,24,0,2]"
118,16,21,0.221088,"[1,1,19,0,0]"
119,17,19,0.124654,"[1,0,18,0,0]"
120,18,16,0,"[0,0,16,0,0]"
121,18,3,0.555556,"[1,0,2,0,0]"
122,17,2,0.625,"[0,1,1,0,0]"
123,16,7,0.510204,"[0,0,5,0,2]"
124,15,1,0,"[1,0,0,0,0]"
125,9,10,0.775,"[2,5,0,3,0]"
126,8,105,0.455329,"[5,82,0,16,2]"
127,9,93,0.500636,"[5,70,0,16,2]"
128,10,78,0.479536,"[5,60,0,11,2]"
129,11,41,0.328674,"[3,35,0,2,1]"
130,12,6,0.763889,"[3,1,0,2,0]"
131,12,35,0.0693877,"[0,34,0,0,1]"
132,13,31,0,"[0,31,0,0,0]"
133,13,4,0.46875,"[0,3,0,0,1]"
134,11,37,0.600803,"[2,25,0,9,1]"
135,12,28,0.487883,"[0,21,0,6,1]"
136,13,12,0.711806,"[0,6,0,5,1]"
137,14,1,0,"[0,0,0,0,1]"
138,14,11,0.619835,"[0,6,0,5,0]"
139,15,2,0,"[0,2,0,0,0]"
140,15,9,0.617284,"[0,4,0,5,0]"
141,13,16,0.146484,"[0,15,0,1,0]"
142,14,8,0.273438,"[0,7,0,1,0]"
143,14,8,0,"[0,8,0,0,0]"
144,12,9,0.802469,"[2,4,0,3,0]"
145,10,15,0.555556,"[0,10,0,5,0]"
146,11,7,0,"[0,7,0,0,0]"
147,11,8,0.585938,"[0,3,0,5,0]"
148,9,12,0,"[0,12,0,0,0]"
149,6,255,0.740907,"[11,153,19,36,36]"
150,7,89,0.86763,"[6,43,12,13,15]"
151,8,7,0.561225,"[0,1,1,5,0]"
152,8,82,0.839158,"[6,42,11,8,15]"
153,9,23,0.543478,"[2,17,2,1,1]"
154,10,12,0.763889,"[1,7,2,1,1]"
155,11,3,0.833333,"[1,0,1,0,1]"
156,11,9,0.462963,"[0,7,1,1,0]"
157,10,11,0.206611,"[1,10,0,0,0]"
158,11,7,0,"[0,7,0,0,0]"
159,11,4,0.46875,"[1,3,0,0,0]"
160,9,59,0.902758,"[4,25,9,7,14]"
161,10,34,0.516869,"[0,25,0,7,2]"
162,11,27,0.390947,"[0,22,0,4,1]"
163,12,4,0.78125,"[0,2,0,1,1]"
164,12,23,0.283554,"[0,20,0,3,0]"
165,13,6,0.625,"[0,3,0,3,0]"
166,13,17,0,"[0,17,0,0,0]"
167,11,7,0.765306,"[0,3,0,3,1]"
168,10,25,0.768,"[4,0,9,0,12]"
169,11,14,0.561225,"[2,0,2,0,10]"
170,12,13,0.473373,"[2,0,1,0,10]"
171,13,12,0.364583,"[1,0,1,0,10]"
172,14,10,0.225,"[1,0,0,0,9]"
173,14,2,0.625,"[0,0,1,0,1]"
174,13,1,0,"[1,0,0,0,0]"
175,12,1,0,"[0,0,1,0,0]"
176,11,11,0.661157,"[2,0,7,0,2]"
177,12,8,0.78125,"[2,0,4,0,2]"
178,12,3,0,"[0,0,3,0,0]"
179,7,166,0.65376,"[5,110,7,23,21]"
180,8,150,0.562222,"[3,108,3,23,13]"
181,9,89,0.354753,"[0,74,0,14,1]"
182,10,61,0.253964,"[0,54,0,7,0]"
183,11,54,0.282064,"[0,47,0,7,0]"
184,12,50,0.184,"[0,46,0,4,0]"
185,13,17,0.449827,"[0,13,0,4,0]"
186,14,8,0.625,"[0,4,0,4,0]"
187,14,9,0,"[0,9,0,0,0]"
