id,depth,n_node_samples,impurity,value
0,0,13238,0.999967,"[2656,2668,2688,2604,2622]"
1,1,11826,0.99879,"[2077,2302,2551,2453,2443]"
2,2,7270,0.94676,"[1340,1878,291,2294,1467]"
3,3,4152,0.960503,"[886,1174,252,729,1111]"
4,4,317,0.921046,"[120,88,32,26,51]"
5,5,173,0.968542,"[35,47,30,14,47]"
6,6,68,0.957504,"[17,23,8,10,10]"
7,7,39,0.961538,"[4,13,6,7,9]"
8,8,29,0.963139,"[2,6,6,6,9]"
9,9,22,0.88843,"[0,2,6,6,8]"
10,10,14,0.867347,"[0,2,6,2,4]"
11,11,4,0.78125,"[0,1,1,2,0]"
12,11,10,0.725,"[0,1,5,0,4]"
13,10,8,0.625,"[0,0,0,4,4]"
14,9,7,0.714286,"[2,4,0,0,1]"
15,8,10,0.575,"[2,7,0,1,0]"
16,7,29,0.82937,"[13,10,2,3,1]"
17,8,14,0.548469,"[1,10,0,3,0]"
18,9,9,0.246914,"[0,8,0,1,0]"
19,9,5,0.8,"[1,2,0,2,0]"
20,8,15,0.422222,"[12,0,2,0,1]"
21,9,10,0.575,"[7,0,2,0,1]"
22,9,5,0,"[5,0,0,0,0]"
23,6,105,0.936054,"[18,24,22,4,37]"
24,7,47,0.917836,"[5,14,14,1,13]"
25,8,39,0.89908,"[3,10,14,1,11]"
26,9,36,0.887346,"[3,7,14,1,11]"
27,10,33,0.870064,"[3,5,14,1,10]"
28,11,22,0.878099,"[3,5,3,1,10]"
29,12,5,0.4,"[0,0,1,0,4]"
30,12,17,0.925606,"[3,5,2,1,6]"
31,13,14,0.880102,"[1,4,2,1,6]"
32,14,3,0,"[0,3,0,0,0]"
33,14,11,0.805785,"[1,1,2,1,6]"
34,15,9,0.648148,"[1,1,0,1,6]"
35,15,2,0,"[0,0,2,0,0]"
36,13,3,0.555556,"[2,1,0,0,0]"
37,11,11,0,"[0,0,11,0,0]"
38,10,3,0.555556,"[0,2,0,0,1]"
39,9,3,0,"[0,3,0,0,0]"
40,8,8,0.78125,"[2,4,0,0,2]"
41,7,58,0.908888,"[13,10,8,3,24]"
42,8,47,0.852196,"[10,7,4,3,23]"
43,9,2,0,"[0,2,0,0,0]"
44,9,45,0.830864,"[10,5,4,3,23]"
45,10,33,0.65427,"[3,4,1,3,22]"
46,11,28,0.516581,"[0,3,1,3,21]"
47,12,4,0.46875,"[0,3,0,1,0]"
48,12,24,0.282118,"[0,0,1,2,21]"
49,13,23,0.203214,"[0,0,1,1,21]"
50,14,1,0,"[0,0,1,0,0]"
51,14,22,0.108471,"[0,0,0,1,21]"
52,15,6,0.347222,"[0,0,0,1,5]"
53,15,16,0,"[0,0,0,0,16]"
54,13,1,0,"[0,0,0,1,0]"
55,11,5,0.7,"[3,1,0,0,1]"
56,10,12,0.729167,"[7,1,3,0,1]"
57,11,1,0,"[0,0,1,0,0]"
58,11,11,0.681818,"[7,1,2,0,1]"
59,12,4,0.78125,"[1,0,2,0,1]"
60,12,7,0.306122,"[6,1,0,0,0]"
61,8,11,0.88843,"[3,3,4,0,1]"
62,9,6,0.625,"[0,1,4,0,1]"
63,9,5,0.6,"[3,2,0,0,0]"
64,5,144,0.703246,"[85,41,2,12,4]"
65,6,59,0.780666,"[28,21,0,9,1]"
66,7,26,0.721154,"[5,15,0,6,0]"
67,8,15,0.8,"[3,6,0,6,0]"
68,9,8,0.742188,"[3,1,0,4,0]"
69,9,7,0.510204,"[0,5,0,2,0]"
70,8,11,0.371901,"[2,9,0,0,0]"
71,9,9,0.246914,"[1,8,0,0,0]"
72,9,2,0.625,"[1,1,0,0,0]"
73,7,33,0.589991,"[23,6,0,3,1]"
74,8,18,0.763889,"[9,6,0,3,0]"
75,9,12,0.815972,"[4,5,0,3,0]"
76,10,8,0.585938,"[0,5,0,3,0]"
77,10,4,0,"[4,0,0,0,0]"
78,9,6,0.347222,"[5,1,0,0,0]"
79,8,15,0.155555,"[14,0,0,0,1]"
80,9,5,0.4,"[4,0,0,0,1]"
81,9,10,0,"[10,0,0,0,0]"
82,6,85,0.614879,"[57,20,2,3,3]"
