id,depth,n_node_samples,impurity,value
0,0,13313,0.999989,"[2678,2678,2674,2643,2640]"
1,1,12964,0.999457,"[2352,2667,2663,2642,2640]"
2,2,10048,0.986759,"[1161,1876,2272,2412,2327]"
3,3,5091,0.842374,"[183,1786,302,2172,648]"
4,4,4541,0.788143,"[111,1737,155,2089,449]"
5,5,2743,0.747085,"[48,949,71,1436,239]"
6,6,591,0.424458,"[1,124,0,464,2]"
7,7,263,0.501308,"[0,73,0,190,0]"
8,8,80,0.621484,"[0,43,0,37,0]"
9,9,62,0.593132,"[0,38,0,24,0]"
10,10,38,0,"[0,38,0,0,0]"
11,10,24,0,"[0,0,0,24,0]"
12,9,18,0.501543,"[0,5,0,13,0]"
13,10,3,0,"[0,3,0,0,0]"
14,10,15,0.288889,"[0,2,0,13,0]"
15,11,7,0.510204,"[0,2,0,5,0]"
16,11,8,0,"[0,0,0,8,0]"
17,8,183,0.34265,"[0,30,0,153,0]"
18,9,1,0,"[0,1,0,0,0]"
19,9,182,0.334878,"[0,29,0,153,0]"
20,10,149,0.391874,"[0,29,0,120,0]"
21,11,148,0.383492,"[0,28,0,120,0]"
22,12,53,0.526878,"[0,16,0,37,0]"
23,13,46,0.454868,"[0,11,0,35,0]"
24,14,43,0.378583,"[0,8,0,35,0]"
25,15,36,0.246914,"[0,4,0,32,0]"
26,16,27,0.0891632,"[0,1,0,26,0]"
27,17,13,0.177515,"[0,1,0,12,0]"
28,18,4,0.46875,"[0,1,0,3,0]"
29,18,9,0,"[0,0,0,9,0]"
30,17,14,0,"[0,0,0,14,0]"
31,16,9,0.555556,"[0,3,0,6,0]"
32,15,7,0.612245,"[0,4,0,3,0]"
33,14,3,0,"[0,3,0,0,0]"
34,13,7,0.510204,"[0,5,0,2,0]"
35,12,95,0.2759,"[0,12,0,83,0]"
36,13,94,0.258318,"[0,11,0,83,0]"
37,14,9,0,"[0,9,0,0,0]"
38,14,85,0.0574395,"[0,2,0,83,0]"
39,15,43,0.110871,"[0,2,0,41,0]"
40,16,36,0.0675155,"[0,1,0,35,0]"
41,17,17,0,"[0,0,0,17,0]"
42,17,19,0.124654,"[0,1,0,18,0]"
43,18,17,0,"[0,0,0,17,0]"
44,18,2,0.625,"[0,1,0,1,0]"
45,16,7,0.306122,"[0,1,0,6,0]"
46,15,42,0,"[0,0,0,42,0]"
47,13,1,0,"[0,1,0,0,0]"
48,11,1,0,"[0,1,0,0,0]"
49,10,33,0,"[0,0,0,33,0]"
50,7,328,0.347426,"[1,51,0,274,2]"
51,8,283,0.279689,"[0,34,0,247,2]"
52,9,27,0.171468,"[0,25,0,2,0]"
53,10,24,0,"[0,24,0,0,0]"
54,10,3,0.555556,"[0,1,0,2,0]"
55,9,256,0.103493,"[0,9,0,245,2]"
56,10,246,0.0884478,"[0,8,0,237,1]"
57,11,53,0.255429,"[0,5,0,47,1]"
58,12,2,0.625,"[0,1,0,0,1]"
59,12,51,0.1807,"[0,4,0,47,0]"
60,13,49,0.14369,"[0,3,0,46,0]"
61,14,46,0.0531663,"[0,1,0,45,0]"
62,15,16,0.146484,"[0,1,0,15,0]"
63,16,8,0,"[0,0,0,8,0]"
64,16,8,0.273438,"[0,1,0,7,0]"
65,15,30,0,"[0,0,0,30,0]"
66,14,3,0.555556,"[0,2,0,1,0]"
67,13,2,0.625,"[0,1,0,1,0]"
68,11,193,0.038256,"[0,3,0,190,0]"
69,12,191,0.0259037,"[0,2,0,189,0]"
70,13,187,0.0132973,"[0,1,0,186,0]"
71,14,3,0.555556,"[0,1,0,2,0]"
72,14,184,0,"[0,0,0,184,0]"
73,13,4,0.46875,"[0,1,0,3,0]"
74,12,2,0.625,"[0,1,0,1,0]"
75,10,10,0.425,"[0,1,0,8,1]"
76,8,45,0.620988,"[1,17,0,27,0]"
77,9,6,0.347222,"[0,5,0,1,0]"
78,9,39,0.575279,"[1,12,0,26,0]"
79,10,38,0.540166,"[0,12,0,26,0]"
80,11,10,0,"[0,10,0,0,0]"
81,11,28,0.165816,"[0,2,0,26,0]"
82,12,9,0.432099,"[0,2,0,7,0]"
83,12,19,0,"[0,0,0,19,0]"
84,10,1,0,"[1,0,0,0,0]"
85,6,2152,0.794162,"[47,825,71,972,237]"
86,7,1736,0.777303,"[25,645,47,827,192]"
87,8,1374,0.649543,"[0,575,0,758,41]"
88,9,518,0.640038,"[0,309,0,187,22]"
89,10,492,0.632157,"[0,301,0,169,22]"
90,11,48,0.815972,"[0,20,0,12,16]"
91,12,46,0.803403,"[0,20,0,10,16]"
92,13,5,0.4,"[0,4,0,0,1]"
93,13,41,0.817966,"[0,16,0,10,15]"
94,14,34,0.821799,"[0,10,0,10,14]"
95,15,11,0.371901,"[0,0,0,2,9]"
96,16,1,0,"[0,0,0,1,0]"
97,16,10,0.225,"[0,0,0,1,9]"
98,15,23,0.803403,"[0,10,0,8,5]"
99,16,4,0,"[0,4,0,0,0]"
100,16,19,0.817175,"[0,6,0,8,5]"
101,17,11,0.702479,"[0,6,0,4,1]"
102,18,5,0.4,"[0,4,0,0,1]"
103,18,6,0.555556,"[0,2,0,4,0]"
104,17,8,0.625,"[0,0,0,4,4]"
105,14,7,0.306122,"[0,6,0,0,1]"
106,12,2,0,"[0,0,0,2,0]"
107,11,444,0.592801,"[0,281,0,157,6]"
108,12,172,0.240333,"[0,12,0,154,6]"
109,13,55,0.0446282,"[0,1,0,54,0]"
110,14,23,0.10397,"[0,1,0,22,0]"
111,15,21,0,"[0,0,0,21,0]"
112,15,2,0.625,"[0,1,0,1,0]"
113,14,32,0,"[0,0,0,32,0]"
114,13,117,0.322522,"[0,11,0,100,6]"
115,14,111,0.247545,"[0,8,0,99,4]"
116,15,107,0.174469,"[0,7,0,99,1]"
117,16,98,0.0986569,"[0,3,0,94,1]"
118,17,12,0.347222,"[0,2,0,10,0]"
119,18,3,0.555556,"[0,1,0,2,0]"
