id,depth,n_node_samples,impurity,value
0,0,13316,0.999988,"[2678,2668,2663,2629,2678]"
1,1,11266,0.99559,"[1659,2370,2354,2441,2442]"
2,2,4986,0.886438,"[665,556,2154,285,1326]"
3,3,2594,0.426475,"[401,63,2065,1,64]"
4,4,2483,0.397418,"[343,59,2020,1,60]"
5,5,2163,0.299856,"[211,55,1873,0,24]"
6,6,2096,0.270822,"[174,54,1846,0,22]"
7,7,53,0,"[0,53,0,0,0]"
8,7,2043,0.220232,"[174,1,1846,0,22]"
9,8,288,0.54142,"[66,1,206,0,15]"
10,9,147,0.64568,"[55,1,86,0,5]"
11,10,134,0.616507,"[43,1,85,0,5]"
12,11,33,0.142332,"[2,0,31,0,0]"
13,12,2,0.625,"[1,0,1,0,0]"
14,12,31,0.0780438,"[1,0,30,0,0]"
15,13,3,0.555556,"[1,0,2,0,0]"
16,13,28,0,"[0,0,28,0,0]"
17,11,101,0.683511,"[41,1,54,0,5]"
18,12,68,0.718534,"[34,1,28,0,5]"
19,13,52,0.715606,"[29,1,17,0,5]"
20,14,25,0.348,"[21,1,3,0,0]"
21,15,5,0,"[5,0,0,0,0]"
22,15,20,0.41875,"[16,1,3,0,0]"
23,16,14,0.548469,"[10,1,3,0,0]"
24,17,4,0,"[4,0,0,0,0]"
25,17,10,0.675,"[6,1,3,0,0]"
26,16,6,0,"[6,0,0,0,0]"
27,14,27,0.761317,"[8,0,14,0,5]"
28,15,15,0.822222,"[6,0,4,0,5]"
29,16,5,0.4,"[0,0,4,0,1]"
30,16,10,0.6,"[6,0,0,0,4]"
31,15,12,0.347222,"[2,0,10,0,0]"
32,16,10,0,"[0,0,10,0,0]"
33,16,2,0,"[2,0,0,0,0]"
34,13,16,0.537109,"[5,0,11,0,0]"
35,14,4,0,"[0,0,4,0,0]"
36,14,12,0.607639,"[5,0,7,0,0]"
37,15,2,0,"[0,0,2,0,0]"
38,15,10,0.625,"[5,0,5,0,0]"
39,12,33,0.417814,"[7,0,26,0,0]"
40,13,15,0.555556,"[5,0,10,0,0]"
41,14,3,0,"[3,0,0,0,0]"
42,14,12,0.347222,"[2,0,10,0,0]"
43,15,8,0,"[0,0,8,0,0]"
44,15,4,0.625,"[2,0,2,0,0]"
45,13,18,0.246914,"[2,0,16,0,0]"
46,14,7,0,"[0,0,7,0,0]"
47,14,11,0.371901,"[2,0,9,0,0]"
48,15,10,0.225,"[1,0,9,0,0]"
49,15,1,0,"[1,0,0,0,0]"
50,10,13,0.177515,"[12,0,1,0,0]"
51,11,6,0,"[6,0,0,0,0]"
52,11,7,0.306122,"[6,0,1,0,0]"
53,9,141,0.330718,"[11,0,120,0,10]"
54,10,139,0.306661,"[9,0,120,0,10]"
55,11,137,0.281049,"[7,0,120,0,10]"
56,12,13,0.532544,"[0,0,9,0,4]"
57,13,7,0,"[0,0,7,0,0]"
58,13,6,0.555556,"[0,0,2,0,4]"
59,12,124,0.241448,"[7,0,111,0,6]"
60,13,123,0.225891,"[7,0,111,0,5]"
61,14,1,0,"[0,0,0,0,1]"
62,14,122,0.209789,"[7,0,111,0,4]"
63,15,1,0,"[1,0,0,0,0]"
64,15,121,0.193634,"[6,0,111,0,4]"
65,16,1,0,"[1,0,0,0,0]"
66,16,120,0.17691,"[5,0,111,0,4]"
67,17,119,0.159593,"[4,0,111,0,4]"
68,18,12,0.364583,"[1,0,10,0,1]"
69,19,6,0,"[0,0,6,0,0]"
70,19,6,0.625,"[1,0,4,0,1]"
71,18,107,0.134291,"[3,0,101,0,3]"
72,19,100,0.12025,"[2,0,95,0,3]"
73,20,68,0.173551,"[2,0,63,0,3]"
74,21,64,0.148315,"[1,0,60,0,3]"
75,22,63,0.114638,"[1,0,60,0,2]"
76,23,2,0.625,"[0,0,1,0,1]"
77,23,61,0.0799518,"[1,0,59,0,1]"
78,24,56,0.0438455,"[1,0,55,0,0]"
79,25,18,0.131173,"[1,0,17,0,0]"
80,26,9,0.246914,"[1,0,8,0,0]"
81,26,9,0,"[0,0,9,0,0]"
82,25,38,0,"[0,0,38,0,0]"
83,24,5,0.4,"[0,0,4,0,1]"
84,22,1,0,"[0,0,0,0,1]"
85,21,4,0.46875,"[1,0,3,0,0]"
86,20,32,0,"[0,0,32,0,0]"
87,19,7,0.306122,"[1,0,6,0,0]"
88,17,1,0,"[1,0,0,0,0]"
89,13,1,0,"[0,0,0,0,1]"
90,11,2,0,"[2,0,0,0,0]"
91,10,2,0,"[2,0,0,0,0]"
92,8,1755,0.153697,"[108,0,1640,0,7]"
93,9,1747,0.144315,"[100,0,1640,0,7]"
94,10,1724,0.118954,"[79,0,1638,0,7]"
95,11,1658,0.10288,"[64,0,1587,0,7]"
96,12,1651,0.0991187,"[61,0,1583,0,7]"
97,13,1579,0.0604475,"[32,0,1540,0,7]"
