id,depth,n_node_samples,impurity,value
0,0,13367,0.99996,"[2689,2715,2686,2662,2615]"
1,1,12390,0.999001,"[2170,2512,2584,2588,2536]"
2,2,5413,0.970031,"[911,1133,643,1763,963]"
3,3,5126,0.959867,"[653,1116,634,1760,963]"
4,4,4371,0.911972,"[540,1075,201,1733,822]"
5,5,3580,0.80689,"[105,1051,24,1723,677]"
6,6,3348,0.795827,"[88,988,17,1650,605]"
7,7,571,0.418728,"[7,103,0,454,7]"
8,8,552,0.377424,"[1,101,0,450,0]"
9,9,456,0.0537305,"[1,9,0,446,0]"
10,10,453,0.0434557,"[1,7,0,445,0]"
11,11,434,0.0171617,"[0,3,0,431,0]"
12,12,230,0.0321835,"[0,3,0,227,0]"
13,13,225,0.0220245,"[0,2,0,223,0]"
14,14,201,0.012376,"[0,1,0,200,0]"
15,15,5,0.4,"[0,1,0,4,0]"
16,15,196,0,"[0,0,0,196,0]"
17,14,24,0.0998263,"[0,1,0,23,0]"
18,15,23,0,"[0,0,0,23,0]"
19,15,1,0,"[0,1,0,0,0]"
20,13,5,0.4,"[0,1,0,4,0]"
21,12,204,0,"[0,0,0,204,0]"
22,11,19,0.512465,"[1,4,0,14,0]"
23,12,4,0.625,"[0,2,0,2,0]"
24,12,15,0.422222,"[1,2,0,12,0]"
25,13,12,0,"[0,0,0,12,0]"
26,13,3,0.555556,"[1,2,0,0,0]"
27,10,3,0.555556,"[0,2,0,1,0]"
28,9,96,0.0998263,"[0,92,0,4,0]"
29,10,4,0.46875,"[0,3,0,1,0]"
30,10,92,0.0788634,"[0,89,0,3,0]"
31,11,2,0.625,"[0,1,0,1,0]"
32,11,90,0.054321,"[0,88,0,2,0]"
33,12,8,0.273438,"[0,7,0,1,0]"
34,12,82,0.0301161,"[0,81,0,1,0]"
35,13,28,0.0860969,"[0,27,0,1,0]"
36,14,21,0,"[0,21,0,0,0]"
37,14,7,0.306122,"[0,6,0,1,0]"
38,13,54,0,"[0,54,0,0,0]"
39,8,19,0.886427,"[6,2,0,4,7]"
40,9,11,0.785124,"[1,2,0,2,6]"
41,10,4,0.78125,"[0,2,0,1,1]"
42,10,7,0.561225,"[1,0,0,1,5]"
43,9,8,0.664062,"[5,0,0,2,1]"
