id,depth,n_node_samples,impurity,value
0,0,13380,0.999957,"[2669,2635,2645,2703,2728]"
1,1,12057,0.998049,"[2045,2295,2559,2555,2603]"
2,2,7827,0.986405,"[1029,1475,1377,2009,1937]"
3,3,6557,0.979172,"[735,1227,1150,1803,1642]"
4,4,2633,0.858898,"[563,804,1089,134,43]"
5,5,2371,0.843536,"[410,752,1037,132,40]"
6,6,1386,0.8554,"[225,597,432,111,21]"
7,7,1291,0.844191,"[196,596,367,111,21]"
8,8,159,0.852122,"[30,44,71,13,1]"
9,9,132,0.874369,"[23,44,51,13,1]"
10,10,68,0.677984,"[1,43,11,12,1]"
11,11,64,0.626221,"[1,43,7,12,1]"
12,12,59,0.558748,"[0,42,4,12,1]"
13,13,58,0.537307,"[0,42,3,12,1]"
14,14,26,0.336538,"[0,22,0,3,1]"
15,15,22,0.211777,"[0,20,0,1,1]"
16,16,2,0.625,"[0,0,0,1,1]"
17,16,20,0,"[0,20,0,0,0]"
18,15,4,0.625,"[0,2,0,2,0]"
19,14,32,0.651855,"[0,20,3,9,0]"
20,15,29,0.535077,"[0,20,0,9,0]"
21,16,1,0,"[0,0,0,1,0]"
22,16,28,0.510204,"[0,20,0,8,0]"
23,17,10,0,"[0,10,0,0,0]"
24,17,18,0.617284,"[0,10,0,8,0]"
25,18,16,0.625,"[0,8,0,8,0]"
26,19,7,0,"[0,7,0,0,0]"
27,19,9,0.246914,"[0,1,0,8,0]"
28,18,2,0,"[0,2,0,0,0]"
29,15,3,0,"[0,0,3,0,0]"
30,13,1,0,"[0,0,1,0,0]"
31,12,5,0.7,"[1,1,3,0,0]"
32,11,4,0,"[0,0,4,0,0]"
33,10,64,0.613403,"[22,1,40,1,0]"
34,11,34,0.692042,"[17,1,15,1,0]"
35,12,27,0.617284,"[12,0,15,0,0]"
36,13,17,0.449827,"[4,0,13,0,0]"
37,14,14,0.165816,"[1,0,13,0,0]"
38,15,4,0.46875,"[1,0,3,0,0]"
39,15,10,0,"[0,0,10,0,0]"
40,14,3,0,"[3,0,0,0,0]"
41,13,10,0.4,"[8,0,2,0,0]"
42,12,7,0.561225,"[5,1,0,1,0]"
43,11,30,0.347222,"[5,0,25,0,0]"
44,12,28,0.239158,"[3,0,25,0,0]"
45,13,2,0.625,"[1,0,1,0,0]"
46,13,26,0.177515,"[2,0,24,0,0]"
47,14,19,0,"[0,0,19,0,0]"
48,14,7,0.510204,"[2,0,5,0,0]"
49,12,2,0,"[2,0,0,0,0]"
50,9,27,0.48011,"[7,0,20,0,0]"
51,10,7,0.306122,"[6,0,1,0,0]"
52,10,20,0.11875,"[1,0,19,0,0]"
53,11,15,0,"[0,0,15,0,0]"
54,11,5,0.4,"[1,0,4,0,0]"
55,8,1132,0.830662,"[166,552,296,98,20]"
56,9,281,0.873184,"[111,79,71,10,10]"
57,10,38,0.401662,"[31,1,4,1,1]"
58,11,4,0.46875,"[3,1,0,0,0]"
59,11,34,0.382785,"[28,0,4,1,1]"
60,12,23,0.297731,"[20,0,1,1,1]"
61,13,13,0.488166,"[10,0,1,1,1]"
62,14,6,0,"[6,0,0,0,0]"
63,14,7,0.765306,"[4,0,1,1,1]"
64,13,10,0,"[10,0,0,0,0]"
65,12,11,0.495868,"[8,0,3,0,0]"
66,13,7,0.612245,"[4,0,3,0,0]"
67,13,4,0,"[4,0,0,0,0]"
68,10,243,0.887272,"[80,78,67,9,9]"
69,11,126,0.785462,"[19,65,36,3,3]"
70,12,21,0.47619,"[4,0,16,0,1]"
71,13,17,0.268166,"[1,0,15,0,1]"
72,14,1,0,"[1,0,0,0,0]"
73,14,16,0.146484,"[0,0,15,0,1]"
74,15,15,0,"[0,0,15,0,0]"
75,15,1,0,"[0,0,0,0,1]"
76,13,4,0.46875,"[3,0,1,0,0]"
77,12,105,0.698639,"[15,65,20,3,2]"
78,13,79,0.559606,"[13,57,4,3,2]"
79,14,60,0.465972,"[5,47,4,2,2]"
80,15,14,0.727041,"[1,8,4,0,1]"
81,16,7,0.714286,"[1,2,4,0,0]"
82,16,7,0.306122,"[0,6,0,0,1]"
83,15,46,0.339083,"[4,39,0,2,1]"
84,16,44,0.262138,"[2,39,0,2,1]"
85,17,39,0.180802,"[1,36,0,2,0]"
86,18,38,0.124654,"[0,36,0,2,0]"
87,19,10,0.4,"[0,8,0,2,0]"
88,19,28,0,"[0,28,0,0,0]"
89,18,1,0,"[1,0,0,0,0]"
90,17,5,0.7,"[1,3,0,0,1]"
91,16,2,0,"[2,0,0,0,0]"
92,14,19,0.67867,"[8,10,0,1,0]"
93,15,8,0.46875,"[2,6,0,0,0]"
94,15,11,0.702479,"[6,4,0,1,0]"
95,16,9,0.740741,"[4,4,0,1,0]"
96,16,2,0,"[2,0,0,0,0]"
97,13,26,0.650888,"[2,8,16,0,0]"
98,14,9,0.462963,"[1,7,1,0,0]"
99,14,17,0.268166,"[1,1,15,0,0]"
100,15,1,0,"[0,1,0,0,0]"
101,15,16,0.146484,"[1,0,15,0,0]"
102,16,14,0,"[0,0,14,0,0]"
103,16,2,0.625,"[1,0,1,0,0]"
104,11,117,0.80046,"[61,13,31,6,6]"
105,12,18,0.501543,"[0,13,0,5,0]"
106,13,2,0,"[0,0,0,2,0]"
107,13,16,0.380859,"[0,13,0,3,0]"
108,14,4,0,"[0,4,0,0,0]"
109,14,12,0.46875,"[0,9,0,3,0]"
110,15,6,0.625,"[0,3,0,3,0]"
111,15,6,0,"[0,6,0,0,0]"
112,12,99,0.648148,"[61,0,31,1,6]"
113,13,64,0.725708,"[29,0,29,0,6]"
114,14,16,0.537109,"[5,0,11,0,0]"
115,15,5,0.6,"[3,0,2,0,0]"
116,15,11,0.371901,"[2,0,9,0,0]"
117,16,1,0,"[1,0,0,0,0]"
118,16,10,0.225,"[1,0,9,0,0]"
119,14,48,0.742188,"[24,0,18,0,6]"
120,15,2,0,"[2,0,0,0,0]"
121,15,46,0.751418,"[22,0,18,0,6]"
122,16,2,0,"[2,0,0,0,0]"
123,16,44,0.759297,"[20,0,18,0,6]"
124,17,21,0.793651,"[5,0,10,0,6]"
125,18,8,0.664062,"[1,0,2,0,5]"
126,18,13,0.650888,"[4,0,8,0,1]"
127,19,11,0.495868,"[3,0,8,0,0]"
128,20,7,0.306122,"[1,0,6,0,0]"
129,20,4,0.625,"[2,0,2,0,0]"
130,19,2,0.625,"[1,0,0,0,1]"
131,17,23,0.567108,"[15,0,8,0,0]"
132,18,16,0.46875,"[12,0,4,0,0]"
133,19,5,0,"[5,0,0,0,0]"
134,19,11,0.578512,"[7,0,4,0,0]"
135,20,9,0.432099,"[7,0,2,0,0]"
136,20,2,0,"[0,0,2,0,0]"
137,18,7,0.612245,"[3,0,4,0,0]"
138,13,35,0.2,"[32,0,2,1,0]"
139,14,12,0,"[12,0,0,0,0]"
140,14,23,0.293006,"[20,0,2,1,0]"
141,15,2,0.625,"[1,0,1,0,0]"
142,15,21,0.221088,"[19,0,1,1,0]"
143,16,17,0.138408,"[16,0,1,0,0]"
144,17,14,0,"[14,0,0,0,0]"
145,17,3,0.555556,"[2,0,1,0,0]"
146,16,4,0.46875,"[3,0,0,1,0]"
147,9,851,0.757694,"[55,473,225,88,10]"
148,10,656,0.676803,"[46,422,105,78,5]"
149,11,652,0.675605,"[46,420,105,76,5]"
150,12,496,0.324369,"[0,420,0,76,0]"
151,13,384,0.0572205,"[0,375,0,9,0]"
152,14,372,0.0526072,"[0,364,0,8,0]"
153,15,11,0.578512,"[0,4,0,7,0]"
154,16,1,0,"[0,0,0,1,0]"
155,16,10,0.6,"[0,4,0,6,0]"
156,15,361,0.00690609,"[0,360,0,1,0]"
157,16,150,0.0165555,"[0,149,0,1,0]"
158,17,34,0.0713667,"[0,33,0,1,0]"
159,18,16,0.146484,"[0,15,0,1,0]"
160,19,8,0,"[0,8,0,0,0]"
161,19,8,0.273438,"[0,7,0,1,0]"
162,18,18,0,"[0,18,0,0,0]"
163,17,116,0,"[0,116,0,0,0]"
164,16,211,0,"[0,211,0,0,0]"
165,14,12,0.190972,"[0,11,0,1,0]"
166,15,5,0,"[0,5,0,0,0]"
167,15,7,0.306122,"[0,6,0,1,0]"
168,13,112,0.600885,"[0,45,0,67,0]"
169,14,109,0.592122,"[0,42,0,67,0]"
170,15,97,0.561165,"[0,33,0,64,0]"
171,16,6,0.555556,"[0,4,0,2,0]"
172,16,91,0.542809,"[0,29,0,62,0]"
173,17,17,0.138408,"[0,1,0,16,0]"
174,18,5,0.4,"[0,1,0,4,0]"
175,18,12,0,"[0,0,0,12,0]"
176,17,74,0.58802,"[0,28,0,46,0]"
177,18,62,0.619147,"[0,28,0,34,0]"
178,19,17,0.259515,"[0,15,0,2,0]"
179,20,7,0,"[0,7,0,0,0]"
180,20,10,0.4,"[0,8,0,2,0]"
181,19,45,0.51358,"[0,13,0,32,0]"
182,20,1,0,"[0,1,0,0,0]"
183,20,44,0.495868,"[0,12,0,32,0]"
184,21,43,0.475933,"[0,11,0,32,0]"
185,22,37,0.383492,"[0,7,0,30,0]"
186,23,13,0,"[0,0,0,13,0]"
187,23,24,0.516493,"[0,7,0,17,0]"
188,24,15,0.288889,"[0,2,0,13,0]"
189,25,6,0.555556,"[0,2,0,4,0]"
190,25,9,0,"[0,0,0,9,0]"
191,24,9,0.617284,"[0,5,0,4,0]"
192,22,6,0.555556,"[0,4,0,2,0]"
193,21,1,0,"[0,1,0,0,0]"
194,18,12,0,"[0,0,0,12,0]"
195,15,12,0.46875,"[0,9,0,3,0]"
196,16,1,0,"[0,0,0,1,0]"
197,16,11,0.371901,"[0,9,0,2,0]"
198,17,1,0,"[0,0,0,1,0]"
199,17,10,0.225,"[0,9,0,1,0]"
200,14,3,0,"[0,3,0,0,0]"
201,12,156,0.573738,"[46,0,105,0,5]"
202,13,13,0.177515,"[12,0,1,0,0]"
203,14,1,0,"[0,0,1,0,0]"
204,14,12,0,"[12,0,0,0,0]"
205,13,143,0.516651,"[34,0,104,0,5]"
206,14,133,0.45141,"[26,0,103,0,4]"
207,15,92,0.351784,"[12,0,77,0,3]"
208,16,12,0.555556,"[4,0,8,0,0]"
209,17,2,0,"[2,0,0,0,0]"
210,17,10,0.4,"[2,0,8,0,0]"
211,16,80,0.305859,"[8,0,69,0,3]"
212,17,2,0,"[0,0,0,0,2]"
213,17,78,0.258465,"[8,0,69,0,1]"
214,18,60,0.324306,"[8,0,51,0,1]"
215,19,57,0.27393,"[6,0,50,0,1]"
216,20,43,0.348837,"[6,0,36,0,1]"
217,21,33,0.273186,"[3,0,29,0,1]"
218,22,32,0.217285,"[2,0,29,0,1]"
219,23,11,0,"[0,0,11,0,0]"
220,23,21,0.31746,"[2,0,18,0,1]"
221,24,18,0.25463,"[1,0,16,0,1]"
222,25,1,0,"[1,0,0,0,0]"
223,25,17,0.138408,"[0,0,16,0,1]"
224,26,14,0,"[0,0,14,0,0]"
225,26,3,0.555556,"[0,0,2,0,1]"
226,24,3,0.555556,"[1,0,2,0,0]"
227,22,1,0,"[1,0,0,0,0]"
228,21,10,0.525,"[3,0,7,0,0]"
229,20,14,0,"[0,0,14,0,0]"
230,19,3,0.555556,"[2,0,1,0,0]"
231,18,18,0,"[0,0,18,0,0]"
232,15,41,0.600833,"[14,0,26,0,1]"
233,16,37,0.522279,"[11,0,26,0,0]"
234,17,26,0.325444,"[4,0,22,0,0]"
235,18,7,0,"[0,0,7,0,0]"
236,18,19,0.415512,"[4,0,15,0,0]"
237,19,9,0,"[0,0,9,0,0]"
238,19,10,0.6,"[4,0,6,0,0]"
239,17,11,0.578512,"[7,0,4,0,0]"
240,18,5,0.4,"[1,0,4,0,0]"
241,18,6,0,"[6,0,0,0,0]"
242,16,4,0.46875,"[3,0,0,0,1]"
243,14,10,0.425,"[8,0,1,0,1]"
244,11,4,0.625,"[0,2,0,2,0]"
245,10,195,0.684352,"[9,51,120,10,5]"
246,11,67,0.492871,"[3,51,0,10,3]"
247,12,58,0.407253,"[1,47,0,7,3]"
248,13,57,0.382425,"[1,47,0,6,3]"
249,14,43,0.214981,"[0,39,0,3,1]"
250,15,33,0.142332,"[0,31,0,2,0]"
251,16,17,0,"[0,17,0,0,0]"
252,16,16,0.273438,"[0,14,0,2,0]"
253,17,1,0,"[0,0,0,1,0]"
254,17,15,0.155555,"[0,14,0,1,0]"
255,18,1,0,"[0,0,0,1,0]"
256,18,14,0,"[0,14,0,0,0]"
257,15,10,0.425,"[0,8,0,1,1]"
258,14,14,0.752551,"[1,8,0,3,2]"
259,15,10,0.425,"[0,8,0,1,1]"
260,15,4,0.78125,"[1,0,0,2,1]"
261,13,1,0,"[0,0,0,1,0]"
262,12,9,0.802469,"[2,4,0,3,0]"
263,11,128,0.148315,"[6,0,120,0,2]"
264,12,24,0.542535,"[6,0,17,0,1]"
265,13,22,0.459711,"[4,0,17,0,1]"
266,14,21,0.402494,"[3,0,17,0,1]"
267,15,7,0,"[0,0,7,0,0]"
268,15,14,0.548469,"[3,0,10,0,1]"
269,16,8,0.273438,"[1,0,7,0,0]"
270,16,6,0.763889,"[2,0,3,0,1]"
271,14,1,0,"[1,0,0,0,0]"
272,13,2,0,"[2,0,0,0,0]"
273,12,104,0.0238073,"[0,0,103,0,1]"
274,13,33,0.0734618,"[0,0,32,0,1]"
275,14,30,0,"[0,0,30,0,0]"
276,14,3,0.555556,"[0,0,2,0,1]"
277,13,71,0,"[0,0,71,0,0]"
278,7,95,0.548199,"[29,1,65,0,0]"
279,8,72,0.391589,"[14,0,58,0,0]"
280,9,64,0.212402,"[6,0,58,0,0]"
281,10,14,0.420918,"[3,0,11,0,0]"
282,11,2,0,"[2,0,0,0,0]"
283,11,12,0.190972,"[1,0,11,0,0]"
284,12,9,0,"[0,0,9,0,0]"
285,12,3,0.555556,"[1,0,2,0,0]"
286,10,50,0.141,"[3,0,47,0,0]"
287,11,47,0.0520599,"[1,0,46,0,0]"
288,12,3,0.555556,"[1,0,2,0,0]"
289,12,44,0,"[0,0,44,0,0]"
290,11,3,0.555556,"[2,0,1,0,0]"
291,9,8,0,"[8,0,0,0,0]"
292,8,23,0.600189,"[15,1,7,0,0]"
293,9,6,0,"[6,0,0,0,0]"
294,9,17,0.683391,"[9,1,7,0,0]"
295,10,6,0,"[0,0,6,0,0]"
296,10,11,0.392562,"[9,1,1,0,0]"
297,11,6,0,"[6,0,0,0,0]"
298,11,5,0.7,"[3,1,1,0,0]"
299,6,985,0.702347,"[185,155,605,21,19]"
