id,depth,n_node_samples,impurity,value
0,0,13373,0.999931,"[2689,2654,2755,2634,2641]"
1,1,7303,0.99094,"[1050,1494,1299,1881,1579]"
2,2,2226,0.938839,"[483,148,635,241,719]"
3,3,900,0.837429,"[163,49,158,74,456]"
4,4,38,0.540166,"[26,0,12,0,0]"
5,5,1,0,"[0,0,1,0,0]"
6,5,37,0.522279,"[26,0,11,0,0]"
7,6,10,0.225,"[1,0,9,0,0]"
8,6,27,0.171468,"[25,0,2,0,0]"
9,7,5,0.6,"[3,0,2,0,0]"
10,7,22,0,"[22,0,0,0,0]"
11,4,862,0.819511,"[137,49,146,74,456]"
12,5,757,0.764747,"[96,35,139,51,436]"
13,6,711,0.735968,"[89,35,106,51,430]"
14,7,649,0.668398,"[50,28,106,41,424]"
15,8,521,0.427561,"[20,28,13,41,419]"
16,9,464,0.328327,"[7,10,10,41,396]"
17,10,445,0.255145,"[7,8,10,24,396]"
18,11,22,0.594008,"[2,0,0,15,5]"
19,12,13,0.340237,"[1,0,0,11,1]"
20,13,11,0,"[0,0,0,11,0]"
21,13,2,0.625,"[1,0,0,0,1]"
22,12,9,0.740741,"[1,0,0,4,4]"
23,11,423,0.180085,"[5,8,10,9,391]"
24,12,422,0.175114,"[5,7,10,9,391]"
25,13,339,0.128284,"[5,4,3,6,321]"
26,14,334,0.102034,"[3,4,3,4,320]"
27,15,315,0.0929453,"[3,3,2,4,303]"
28,16,61,0.266058,"[2,2,1,2,54]"
29,17,58,0.164239,"[1,1,0,2,54]"
30,18,55,0.0884298,"[1,0,0,1,53]"
31,19,2,0.625,"[0,0,0,1,1]"
32,19,53,0.0462798,"[1,0,0,0,52]"
33,20,14,0.165816,"[1,0,0,0,13]"
34,21,11,0,"[0,0,0,0,11]"
35,21,3,0.555556,"[1,0,0,0,2]"
36,20,39,0,"[0,0,0,0,39]"
37,18,3,0.833333,"[0,1,0,1,1]"
38,17,3,0.833333,"[1,1,1,0,0]"
39,16,254,0.0485926,"[1,1,1,2,249]"
40,17,236,0.0418792,"[0,1,1,2,232]"
41,18,16,0.146484,"[0,0,0,1,15]"
42,19,2,0.625,"[0,0,0,1,1]"
43,19,14,0,"[0,0,0,0,14]"
44,18,220,0.0337811,"[0,1,1,1,217]"
45,19,14,0.165816,"[0,0,0,1,13]"
46,20,1,0,"[0,0,0,1,0]"
47,20,13,0,"[0,0,0,0,13]"
