id,depth,n_node_samples,impurity,value
0,0,13327,0.999995,"[2681,2660,2676,2647,2663]"
1,1,12688,0.99903,"[2455,2660,2263,2647,2663]"
2,2,12673,0.999055,"[2455,2645,2263,2647,2663]"
3,3,9939,0.991114,"[1491,1596,2125,2344,2383]"
4,4,4370,0.764854,"[103,1475,41,2224,527]"
5,5,1441,0.658131,"[9,402,3,897,130]"
6,6,232,0.59114,"[2,49,2,160,19]"
7,7,214,0.536018,"[0,44,1,155,14]"
8,8,81,0.757887,"[0,31,1,39,10]"
9,9,37,0.631848,"[0,12,0,23,2]"
10,10,14,0.446429,"[0,2,0,11,1]"
11,11,9,0,"[0,0,0,9,0]"
12,11,5,0.8,"[0,2,0,2,1]"
13,10,23,0.671078,"[0,10,0,12,1]"
14,11,8,0.664062,"[0,2,0,5,1]"
15,11,15,0.622222,"[0,8,0,7,0]"
16,12,5,0,"[0,5,0,0,0]"
17,12,10,0.525,"[0,3,0,7,0]"
18,9,44,0.809659,"[0,19,1,16,8]"
19,10,43,0.789616,"[0,19,0,16,8]"
20,11,31,0.775234,"[0,12,0,14,5]"
21,12,7,0.714286,"[0,4,0,1,2]"
22,12,24,0.724826,"[0,8,0,13,3]"
23,13,18,0.532408,"[0,4,0,13,1]"
24,14,2,0.625,"[0,1,0,0,1]"
25,14,16,0.380859,"[0,3,0,13,0]"
26,15,15,0.288889,"[0,2,0,13,0]"
27,16,9,0,"[0,0,0,9,0]"
28,16,6,0.555556,"[0,2,0,4,0]"
29,15,1,0,"[0,1,0,0,0]"
30,13,6,0.555556,"[0,4,0,0,2]"
31,11,12,0.711805,"[0,7,0,2,3]"
32,12,11,0.640496,"[0,7,0,1,3]"
33,13,5,0.4,"[0,4,0,1,0]"
34,13,6,0.625,"[0,3,0,0,3]"
35,12,1,0,"[0,0,0,1,0]"
36,10,1,0,"[0,0,1,0,0]"
37,8,133,0.286053,"[0,13,0,116,4]"
38,9,55,0.171901,"[0,2,0,51,2]"
39,10,53,0.135279,"[0,1,0,50,2]"
40,11,2,0.625,"[0,1,0,0,1]"
41,11,51,0.0480583,"[0,0,0,50,1]"
42,12,17,0.138408,"[0,0,0,16,1]"
43,13,13,0,"[0,0,0,13,0]"
44,13,4,0.46875,"[0,0,0,3,1]"
45,12,34,0,"[0,0,0,34,0]"
46,10,2,0.625,"[0,1,0,1,0]"
47,9,78,0.356262,"[0,11,0,65,2]"
48,10,39,0.180802,"[0,1,0,36,2]"
49,11,2,0.625,"[0,1,0,1,0]"
50,11,37,0.12783,"[0,0,0,35,2]"
51,12,2,0,"[0,0,0,0,2]"
52,12,35,0,"[0,0,0,35,0]"
53,10,39,0.47666,"[0,10,0,29,0]"
54,11,10,0.225,"[0,9,0,1,0]"
55,11,29,0.0832343,"[0,1,0,28,0]"
56,12,6,0.347222,"[0,1,0,5,0]"
57,12,23,0,"[0,0,0,23,0]"
58,7,18,0.941358,"[2,5,1,5,5]"
59,8,7,0.612245,"[0,4,0,3,0]"
60,8,11,0.88843,"[2,1,1,2,5]"
61,9,6,0.625,"[0,0,1,1,4]"
62,9,5,0.9,"[2,1,0,1,1]"
63,6,1209,0.66835,"[7,353,1,737,111]"
64,7,239,0.697117,"[4,87,0,132,16]"
65,8,33,0.847107,"[3,5,0,11,14]"
66,9,9,0.802469,"[2,3,0,0,4]"
67,9,24,0.759549,"[1,2,0,11,10]"
68,10,23,0.718336,"[0,2,0,11,10]"
69,11,13,0.532544,"[0,0,0,9,4]"
70,12,6,0,"[0,0,0,6,0]"
71,12,7,0.612245,"[0,0,0,3,4]"
72,11,10,0.7,"[0,2,0,2,6]"
73,10,1,0,"[1,0,0,0,0]"
74,8,206,0.620523,"[1,82,0,121,2]"
75,9,82,0.490779,"[0,22,0,60,0]"
76,10,1,0,"[0,1,0,0,0]"
77,10,81,0.48011,"[0,21,0,60,0]"
78,11,14,0.165816,"[0,13,0,1,0]"
79,12,13,0,"[0,13,0,0,0]"
80,12,1,0,"[0,0,0,1,0]"
81,11,67,0.262865,"[0,8,0,59,0]"
82,12,58,0.0832343,"[0,2,0,56,0]"
83,13,27,0,"[0,0,0,27,0]"
84,13,31,0.150885,"[0,2,0,29,0]"
85,14,2,0.625,"[0,1,0,1,0]"
86,14,29,0.0832343,"[0,1,0,28,0]"
87,15,4,0.46875,"[0,1,0,3,0]"
88,15,25,0,"[0,0,0,25,0]"
89,12,9,0.555556,"[0,6,0,3,0]"
90,9,124,0.654429,"[1,60,0,61,2]"
91,10,100,0.65625,"[1,44,0,53,2]"
92,11,76,0.633224,"[1,27,0,46,2]"
93,12,24,0.190972,"[0,22,0,2,0]"
94,13,2,0.625,"[0,1,0,1,0]"
95,13,22,0.108471,"[0,21,0,1,0]"
96,14,10,0.225,"[0,9,0,1,0]"
97,14,12,0,"[0,12,0,0,0]"
98,12,52,0.341161,"[1,5,0,44,2]"
99,13,45,0.158025,"[0,2,0,42,1]"
100,14,44,0.109762,"[0,1,0,42,1]"
101,15,1,0,"[0,1,0,0,0]"
102,15,43,0.0567875,"[0,0,0,42,1]"
103,16,17,0.138408,"[0,0,0,16,1]"
104,17,9,0.246914,"[0,0,0,8,1]"
105,17,8,0,"[0,0,0,8,0]"
106,16,26,0,"[0,0,0,26,0]"
107,14,1,0,"[0,1,0,0,0]"
108,13,7,0.867347,"[1,3,0,2,1]"
109,11,24,0.516493,"[0,17,0,7,0]"
110,12,10,0,"[0,10,0,0,0]"
111,12,14,0.625,"[0,7,0,7,0]"
112,13,8,0.46875,"[0,2,0,6,0]"
113,13,6,0.347222,"[0,5,0,1,0]"
114,10,24,0.555556,"[0,16,0,8,0]"
115,11,19,0.484765,"[0,14,0,5,0]"
116,12,5,0,"[0,5,0,0,0]"
117,12,14,0.573979,"[0,9,0,5,0]"
118,13,4,0,"[0,0,0,4,0]"
119,13,10,0.225,"[0,9,0,1,0]"
120,11,5,0.6,"[0,2,0,3,0]"
121,7,970,0.657727,"[3,266,1,605,95]"
122,8,570,0.569406,"[1,147,0,393,29]"
123,9,556,0.559972,"[1,139,0,388,28]"
124,10,51,0.670896,"[0,25,0,24,2]"
125,11,45,0.669136,"[0,19,0,24,2]"
126,12,6,0.625,"[0,4,0,1,1]"
127,12,39,0.62952,"[0,15,0,23,1]"
128,13,20,0.6,"[0,12,0,8,0]"
129,14,11,0.371901,"[0,9,0,2,0]"
130,15,3,0.555556,"[0,1,0,2,0]"
131,15,8,0,"[0,8,0,0,0]"
132,14,9,0.555556,"[0,3,0,6,0]"
133,13,19,0.436288,"[0,3,0,15,1]"
134,14,6,0.763889,"[0,2,0,3,1]"
135,14,13,0.177515,"[0,1,0,12,0]"
136,15,8,0,"[0,0,0,8,0]"
137,15,5,0.4,"[0,1,0,4,0]"
138,11,6,0,"[0,6,0,0,0]"
139,10,505,0.533555,"[1,114,0,364,26]"
140,11,485,0.522149,"[1,105,0,354,25]"
141,12,77,0,"[0,77,0,0,0]"
142,12,408,0.298398,"[1,28,0,354,25]"
143,13,221,0.0872217,"[0,8,0,213,0]"
144,14,218,0.0669137,"[0,6,0,212,0]"
145,15,4,0.625,"[0,2,0,2,0]"
146,15,214,0.0458555,"[0,4,0,210,0]"
147,16,28,0.165816,"[0,2,0,26,0]"
148,17,3,0.555556,"[0,1,0,2,0]"
149,17,25,0.096,"[0,1,0,24,0]"
150,18,24,0,"[0,0,0,24,0]"
151,18,1,0,"[0,1,0,0,0]"
152,16,186,0.0265926,"[0,2,0,184,0]"
153,17,21,0.113379,"[0,1,0,20,0]"
154,18,20,0,"[0,0,0,20,0]"
155,18,1,0,"[0,1,0,0,0]"
156,17,165,0.0150599,"[0,1,0,164,0]"
157,18,4,0.46875,"[0,1,0,3,0]"
158,18,161,0,"[0,0,0,161,0]"
159,14,3,0.555556,"[0,2,0,1,0]"
160,13,187,0.502659,"[1,20,0,141,25]"
161,14,2,0,"[0,2,0,0,0]"
162,14,185,0.489189,"[1,18,0,141,25]"
163,15,170,0.415657,"[1,18,0,137,14]"
164,16,15,0.3,"[1,0,0,1,13]"
165,17,1,0,"[0,0,0,1,0]"
166,17,14,0.165816,"[1,0,0,0,13]"
167,18,12,0,"[0,0,0,0,12]"
168,18,2,0.625,"[1,0,0,0,1]"
169,16,155,0.27076,"[0,18,0,136,1]"
170,17,126,0.0773178,"[0,3,0,122,1]"
171,18,92,0.0268786,"[0,0,0,91,1]"
172,19,1,0,"[0,0,0,0,1]"
173,19,91,0,"[0,0,0,91,0]"
174,18,34,0.201125,"[0,3,0,31,0]"
175,19,3,0.555556,"[0,2,0,1,0]"
176,19,31,0.0780438,"[0,1,0,30,0]"
177,20,25,0,"[0,0,0,25,0]"
