id,depth,n_node_samples,impurity,value
0,0,13375,0.999978,"[2651,2653,2680,2671,2720]"
1,1,294,0.801749,"[147,91,24,13,19]"
2,2,279,0.812072,"[134,91,23,12,19]"
3,3,157,0.899022,"[66,41,22,12,16]"
4,4,139,0.857745,"[63,41,10,12,13]"
5,5,52,0.991124,"[10,13,7,11,11]"
6,6,18,0.825617,"[7,0,5,0,6]"
7,7,15,0.822222,"[4,0,5,0,6]"
8,8,3,0,"[0,0,0,0,3]"
9,8,12,0.815972,"[4,0,5,0,3]"
10,9,7,0.612245,"[0,0,4,0,3]"
11,9,5,0.4,"[4,0,1,0,0]"
12,7,3,0,"[3,0,0,0,0]"
13,6,34,0.895329,"[3,13,2,11,5]"
14,7,15,0.788889,"[1,4,1,8,1]"
15,8,13,0.724852,"[1,2,1,8,1]"
16,9,2,0.625,"[0,1,0,0,1]"
17,9,11,0.557851,"[1,1,1,8,0]"
18,10,1,0,"[0,1,0,0,0]"
19,10,10,0.425,"[1,0,1,8,0]"
20,8,2,0,"[0,2,0,0,0]"
21,7,19,0.865651,"[2,9,1,3,4]"
22,8,10,0.525,"[0,7,0,3,0]"
23,8,9,0.864198,"[2,2,1,0,4]"
24,5,87,0.654314,"[53,28,3,1,2]"
25,6,36,0.466821,"[28,5,1,1,1]"
26,7,7,0,"[7,0,0,0,0]"
27,7,29,0.552913,"[21,5,1,1,1]"
28,8,24,0.633681,"[16,5,1,1,1]"
29,9,11,0.867769,"[3,5,1,1,1]"
30,10,4,0.46875,"[0,3,0,1,0]"
31,10,7,0.867347,"[3,2,1,0,1]"
32,9,13,0,"[13,0,0,0,0]"
33,8,5,0,"[5,0,0,0,0]"
34,6,51,0.693003,"[25,23,2,0,1]"
35,7,37,0.651936,"[23,11,2,0,1]"
36,8,35,0.622449,"[23,9,2,0,1]"
37,9,24,0.368924,"[20,1,2,0,1]"
38,10,1,0,"[0,0,1,0,0]"
39,10,23,0.297731,"[20,1,1,0,1]"
40,11,15,0.433333,"[12,1,1,0,1]"
41,12,1,0,"[0,1,0,0,0]"
42,12,14,0.318877,"[12,0,1,0,1]"
43,13,6,0,"[6,0,0,0,0]"
44,13,8,0.507812,"[6,0,1,0,1]"
45,11,8,0,"[8,0,0,0,0]"
46,9,11,0.495868,"[3,8,0,0,0]"
47,10,7,0,"[0,7,0,0,0]"
48,10,4,0.46875,"[3,1,0,0,0]"
49,8,2,0,"[0,2,0,0,0]"
50,7,14,0.306122,"[2,12,0,0,0]"
51,8,8,0.46875,"[2,6,0,0,0]"
52,8,6,0,"[0,6,0,0,0]"
53,4,18,0.625,"[3,0,12,0,3]"
54,5,16,0.507812,"[2,0,12,0,2]"
55,6,1,0,"[1,0,0,0,0]"
56,6,15,0.422222,"[1,0,12,0,2]"
57,7,14,0.306122,"[0,0,12,0,2]"
58,8,10,0.4,"[0,0,8,0,2]"
59,8,4,0,"[0,0,4,0,0]"
60,7,1,0,"[1,0,0,0,0]"
61,5,2,0.625,"[1,0,0,0,1]"
62,3,122,0.650867,"[68,50,1,0,3]"
63,4,62,0.48192,"[12,47,0,0,3]"
64,5,20,0,"[0,20,0,0,0]"
65,5,42,0.625,"[12,27,0,0,3]"
66,6,13,0.621302,"[7,6,0,0,0]"
67,7,9,0.555556,"[3,6,0,0,0]"
68,7,4,0,"[4,0,0,0,0]"
69,6,29,0.543995,"[5,21,0,0,3]"
70,7,21,0.674603,"[5,13,0,0,3]"
71,8,3,0,"[3,0,0,0,0]"
72,8,18,0.54784,"[2,13,0,0,3]"
73,9,2,0.625,"[1,1,0,0,0]"
74,9,16,0.498047,"[1,12,0,0,3]"
75,10,9,0.709877,"[1,5,0,0,3]"
76,10,7,0,"[0,7,0,0,0]"
77,7,8,0,"[0,8,0,0,0]"
78,4,60,0.157639,"[56,3,1,0,0]"
79,5,52,0.0924556,"[50,2,0,0,0]"
80,6,29,0,"[29,0,0,0,0]"
81,6,23,0.198488,"[21,2,0,0,0]"
82,7,16,0,"[16,0,0,0,0]"
83,7,7,0.510204,"[5,2,0,0,0]"
84,5,8,0.507812,"[6,1,1,0,0]"
85,2,15,0.3,"[13,0,1,1,0]"
86,3,2,0.625,"[1,0,0,1,0]"
87,3,13,0.177515,"[12,0,1,0,0]"
88,4,12,0,"[12,0,0,0,0]"
89,4,1,0,"[0,0,1,0,0]"
