id,depth,n_node_samples,impurity,value
0,0,13279,0.999988,"[2661,2645,2627,2664,2682]"
1,1,10695,0.995272,"[1622,2012,2277,2425,2359]"
2,2,8425,0.987425,"[1077,1580,1598,2139,2031]"
3,3,7899,0.979396,"[964,1574,1202,2139,2020]"
4,4,582,0.821546,"[287,52,164,17,62]"
5,5,441,0.878312,"[180,47,140,16,58]"
6,6,419,0.887683,"[161,45,139,16,58]"
7,7,323,0.833253,"[115,16,138,7,47]"
8,8,119,0.860462,"[49,15,9,5,41]"
9,9,5,0.6,"[0,2,0,3,0]"
10,9,114,0.832949,"[49,13,9,2,41]"
11,10,21,0.402494,"[17,0,0,1,3]"
12,11,15,0.522222,"[11,0,0,1,3]"
13,12,8,0.273438,"[7,0,0,1,0]"
14,12,7,0.612245,"[4,0,0,0,3]"
15,11,6,0,"[6,0,0,0,0]"
16,10,93,0.857036,"[32,13,9,1,38]"
17,11,55,0.75124,"[15,9,1,0,30]"
18,12,6,0,"[6,0,0,0,0]"
19,12,49,0.696585,"[9,9,1,0,30]"
20,13,42,0.619331,"[5,9,0,0,28]"
21,14,5,0.6,"[0,3,0,0,2]"
22,14,37,0.577064,"[5,6,0,0,26]"
23,15,13,0.739645,"[4,2,0,0,7]"
24,16,4,0,"[0,0,0,0,4]"
25,16,9,0.802469,"[4,2,0,0,3]"
26,15,24,0.429687,"[1,4,0,0,19]"
27,16,21,0.221088,"[1,1,0,0,19]"
28,17,20,0.11875,"[1,0,0,0,19]"
29,18,14,0,"[0,0,0,0,14]"
30,18,6,0.347222,"[1,0,0,0,5]"
31,17,1,0,"[0,1,0,0,0]"
32,16,3,0,"[0,3,0,0,0]"
33,13,7,0.714286,"[4,0,1,0,2]"
34,11,38,0.874308,"[17,4,8,1,8]"
35,12,26,0.931953,"[7,3,7,1,8]"
36,13,22,0.909091,"[3,3,7,1,8]"
37,14,7,0.561225,"[1,1,0,0,5]"
38,14,15,0.877778,"[2,2,7,1,3]"
39,15,13,0.784024,"[2,0,7,1,3]"
40,16,7,0.561225,"[0,0,5,1,1]"
41,16,6,0.833333,"[2,0,2,0,2]"
42,15,2,0,"[0,2,0,0,0]"
43,13,4,0,"[4,0,0,0,0]"
44,12,12,0.364583,"[10,1,1,0,0]"
45,13,9,0,"[9,0,0,0,0]"
46,13,3,0.833333,"[1,1,1,0,0]"
47,8,204,0.618092,"[66,1,129,2,6]"
48,9,186,0.601442,"[55,1,122,2,6]"
49,10,70,0.680102,"[40,1,25,2,2]"
50,11,6,0,"[6,0,0,0,0]"
51,11,64,0.703735,"[34,1,25,2,2]"
52,12,35,0.608163,"[12,0,22,0,1]"
53,13,17,0.622837,"[9,0,8,0,0]"
54,14,8,0.46875,"[2,0,6,0,0]"
55,14,9,0.432099,"[7,0,2,0,0]"
56,13,18,0.455247,"[3,0,14,0,1]"
57,14,1,0,"[1,0,0,0,0]"
58,14,17,0.380623,"[2,0,14,0,1]"
59,15,1,0,"[1,0,0,0,0]"
60,15,16,0.283203,"[1,0,14,0,1]"
61,16,3,0.555556,"[1,0,2,0,0]"
62,16,13,0.177515,"[0,0,12,0,1]"
63,17,9,0,"[0,0,9,0,0]"
64,17,4,0.46875,"[0,0,3,0,1]"
65,12,29,0.508323,"[22,1,3,2,1]"
66,13,8,0.9375,"[3,1,2,1,1]"
67,13,21,0.221088,"[19,0,1,1,0]"
68,14,11,0.392562,"[9,0,1,1,0]"
69,15,9,0.246914,"[8,0,0,1,0]"
70,15,2,0.625,"[1,0,1,0,0]"
71,14,10,0,"[10,0,0,0,0]"
72,10,116,0.35356,"[15,0,97,0,4]"
73,11,112,0.315689,"[12,0,96,0,4]"
74,12,14,0.65051,"[9,0,3,0,2]"
75,13,11,0.495868,"[8,0,3,0,0]"
76,14,8,0,"[8,0,0,0,0]"
77,14,3,0,"[0,0,3,0,0]"
78,13,3,0.555556,"[1,0,0,0,2]"
79,12,98,0.122605,"[3,0,93,0,2]"
80,13,97,0.0996386,"[3,0,93,0,1]"
81,14,83,0.0297578,"[1,0,82,0,0]"
82,15,36,0.0675155,"[1,0,35,0,0]"
83,16,17,0.138408,"[1,0,16,0,0]"
84,17,9,0,"[0,0,9,0,0]"
85,17,8,0.273438,"[1,0,7,0,0]"
86,16,19,0,"[0,0,19,0,0]"
87,15,47,1.49012e-7,"[0,0,47,0,0]"
88,14,14,0.446429,"[2,0,11,0,1]"
89,15,5,0.8,"[2,0,2,0,1]"
90,15,9,0,"[0,0,9,0,0]"
91,13,1,0,"[0,0,0,0,1]"
92,11,4,0.46875,"[3,0,1,0,0]"
93,9,18,0.594136,"[11,0,7,0,0]"
94,10,9,0.246914,"[8,0,1,0,0]"
95,10,9,0.555556,"[3,0,6,0,0]"
96,7,96,0.821398,"[46,29,1,9,11]"
97,8,60,0.889583,"[23,18,0,8,11]"
98,9,52,0.870932,"[23,11,0,7,11]"
99,10,19,0.921053,"[3,5,0,5,6]"
100,11,10,0.875,"[2,3,0,4,1]"
101,11,9,0.771605,"[1,2,0,1,5]"
102,10,33,0.716253,"[20,6,0,2,5]"
103,11,8,0.742188,"[3,4,0,0,1]"
104,11,25,0.624,"[17,2,0,2,4]"
105,12,2,0.625,"[0,1,0,0,1]"
106,12,23,0.534026,"[17,1,0,2,3]"
107,13,10,0.875,"[4,1,0,2,3]"
108,13,13,0,"[13,0,0,0,0]"
109,9,8,0.273438,"[0,7,0,1,0]"
110,8,36,0.621142,"[23,11,1,1,0]"
111,9,33,0.649679,"[20,11,1,1,0]"
112,10,14,0.459184,"[1,11,1,1,0]"
113,11,6,0,"[0,6,0,0,0]"
114,11,8,0.703125,"[1,5,1,1,0]"
115,10,19,0,"[19,0,0,0,0]"
116,9,3,0,"[3,0,0,0,0]"
117,6,22,0.304752,"[19,2,1,0,0]"
118,7,2,0.625,"[1,1,0,0,0]"
119,7,20,0.23125,"[18,1,1,0,0]"
120,8,16,0.146484,"[15,1,0,0,0]"
121,9,15,0,"[15,0,0,0,0]"
122,9,1,0,"[0,1,0,0,0]"
123,8,4,0.46875,"[3,0,1,0,0]"
124,5,141,0.491298,"[107,5,24,1,4]"
125,6,86,0.621958,"[57,3,21,1,4]"
126,7,14,0,"[14,0,0,0,0]"
127,7,72,0.691551,"[43,3,21,1,4]"
128,8,8,0.976562,"[2,2,2,1,1]"
129,8,64,0.623779,"[41,1,19,0,3]"
130,9,1,0,"[0,1,0,0,0]"
131,9,63,0.604056,"[41,0,19,0,3]"
132,10,53,0.657707,"[31,0,19,0,3]"
133,11,6,0.625,"[1,0,4,0,1]"
