id,depth,n_node_samples,impurity,value
0,0,13366,0.999975,"[2656,2661,2724,2650,2675]"
1,1,11721,0.995811,"[2064,2592,1898,2642,2525]"
2,2,1708,0.991322,"[403,376,286,246,397]"
3,3,1502,0.990487,"[331,318,256,215,382]"
4,4,909,0.983636,"[168,218,102,185,236]"
5,5,507,0.828801,"[145,13,100,14,235]"
6,6,400,0.79475,"[90,10,76,14,210]"
7,7,377,0.775581,"[71,9,76,14,207]"
8,8,254,0.625736,"[32,3,33,13,173]"
9,9,206,0.393593,"[18,2,4,13,169]"
10,10,205,0.386258,"[17,2,4,13,169]"
11,11,197,0.320415,"[11,1,3,13,169]"
12,12,170,0.280969,"[5,0,3,13,149]"
13,13,61,0.190809,"[4,0,1,0,56]"
14,14,60,0.157639,"[3,0,1,0,56]"
15,15,4,0.46875,"[3,0,1,0,0]"
16,15,56,0,"[0,0,0,0,56]"
17,14,1,0,"[1,0,0,0,0]"
18,13,109,0.321732,"[1,0,2,13,93]"
19,14,107,0.309634,"[1,0,2,12,92]"
20,15,66,0.437902,"[1,0,2,11,52]"
21,16,20,0.625,"[0,0,0,10,10]"
22,17,10,0.525,"[0,0,0,3,7]"
23,17,10,0.525,"[0,0,0,7,3]"
24,16,46,0.204395,"[1,0,2,1,42]"
25,17,43,0.112223,"[1,0,0,1,41]"
26,18,21,0.221088,"[1,0,0,1,19]"
27,19,13,0,"[0,0,0,0,13]"
28,19,8,0.507812,"[1,0,0,1,6]"
29,18,22,0,"[0,0,0,0,22]"
30,17,3,0.555556,"[0,0,2,0,1]"
31,15,41,0.0594885,"[0,0,0,1,40]"
32,16,35,0,"[0,0,0,0,35]"
33,16,6,0.347222,"[0,0,0,1,5]"
34,14,2,0.625,"[0,0,0,1,1]"
35,12,27,0.500686,"[6,1,0,0,20]"
36,13,15,0.288889,"[2,0,0,0,13]"
37,14,14,0.165816,"[1,0,0,0,13]"
38,15,10,0,"[0,0,0,0,10]"
39,15,4,0.46875,"[1,0,0,0,3]"
40,14,1,0,"[1,0,0,0,0]"
41,13,12,0.677083,"[4,1,0,0,7]"
42,14,9,0.740741,"[4,1,0,0,4]"
43,14,3,0,"[0,0,0,0,3]"
44,11,8,0.507812,"[6,1,1,0,0]"
45,10,1,0,"[1,0,0,0,0]"
46,9,48,0.678168,"[14,1,29,0,4]"
47,10,47,0.668855,"[13,1,29,0,4]"
48,11,21,0.674603,"[9,0,11,0,1]"
49,12,16,0.576172,"[4,0,11,0,1]"
50,13,11,0.206611,"[0,0,10,0,1]"
51,14,10,0,"[0,0,10,0,0]"
52,14,1,0,"[0,0,0,0,1]"
53,13,5,0.4,"[4,0,1,0,0]"
