id,depth,n_node_samples,impurity,value
0,0,13193,0.99999,"[2640,2629,2640,2617,2667]"
1,1,11068,0.998501,"[1955,2085,2248,2396,2384]"
2,2,2377,0.967686,"[660,317,653,242,505]"
3,3,2234,0.972237,"[528,311,648,242,505]"
4,4,370,0.659149,"[133,2,216,0,19]"
5,5,356,0.652123,"[122,2,213,0,19]"
6,6,68,0.839641,"[28,2,21,0,17]"
7,7,27,0.802469,"[6,2,5,0,14]"
8,8,11,0.392562,"[1,0,1,0,9]"
9,9,3,0.555556,"[0,0,1,0,2]"
10,9,8,0.273438,"[1,0,0,0,7]"
11,8,16,0.908203,"[5,2,4,0,5]"
12,9,11,0.847107,"[5,2,3,0,1]"
13,10,5,0.9,"[1,1,2,0,1]"
14,10,6,0.625,"[4,1,1,0,0]"
15,9,5,0.4,"[0,0,1,0,4]"
16,7,41,0.69304,"[22,0,16,0,3]"
17,8,32,0.725098,"[15,0,14,0,3]"
18,9,10,0.425,"[8,0,1,0,1]"
19,9,22,0.676653,"[7,0,13,0,2]"
20,10,19,0.65097,"[5,0,12,0,2]"
21,11,1,0,"[1,0,0,0,0]"
22,11,18,0.617284,"[4,0,12,0,2]"
23,12,6,0.833333,"[2,0,2,0,2]"
24,12,12,0.347222,"[2,0,10,0,0]"
25,13,4,0.625,"[2,0,2,0,0]"
26,13,8,0,"[0,0,8,0,0]"
27,10,3,0.555556,"[2,0,1,0,0]"
28,8,9,0.432099,"[7,0,2,0,0]"
29,6,288,0.561222,"[94,0,192,0,2]"
30,7,199,0.444307,"[46,0,153,0,0]"
31,8,30,0.488889,"[22,0,8,0,0]"
32,9,10,0.625,"[5,0,5,0,0]"
33,9,20,0.31875,"[17,0,3,0,0]"
34,10,18,0.246914,"[16,0,2,0,0]"
35,11,9,0,"[9,0,0,0,0]"
36,11,9,0.432099,"[7,0,2,0,0]"
37,10,2,0.625,"[1,0,1,0,0]"
38,8,169,0.304611,"[24,0,145,0,0]"
39,9,100,0.225,"[10,0,90,0,0]"
40,10,88,0.183045,"[7,0,81,0,0]"
41,11,75,0.0959999,"[3,0,72,0,0]"
42,12,20,0,"[0,0,20,0,0]"
43,12,55,0.128926,"[3,0,52,0,0]"
44,13,54,0.0891632,"[2,0,52,0,0]"
45,14,26,0.177515,"[2,0,24,0,0]"
46,15,17,0,"[0,0,17,0,0]"
47,15,9,0.432099,"[2,0,7,0,0]"
48,14,28,0,"[0,0,28,0,0]"
49,13,1,0,"[1,0,0,0,0]"
50,11,13,0.532544,"[4,0,9,0,0]"
51,12,10,0.4,"[2,0,8,0,0]"
52,12,3,0.555556,"[2,0,1,0,0]"
53,10,12,0.46875,"[3,0,9,0,0]"
54,11,4,0.625,"[2,0,2,0,0]"
55,11,8,0.273438,"[1,0,7,0,0]"
56,9,69,0.404327,"[14,0,55,0,0]"
57,10,38,0.540166,"[12,0,26,0,0]"
58,11,21,0.21542,"[2,0,19,0,0]"
59,12,20,0.11875,"[1,0,19,0,0]"
60,13,10,0,"[0,0,10,0,0]"
61,13,10,0.225,"[1,0,9,0,0]"
62,12,1,0,"[1,0,0,0,0]"
63,11,17,0.605536,"[10,0,7,0,0]"
64,12,12,0.607639,"[5,0,7,0,0]"
65,13,1,0,"[0,0,1,0,0]"
66,13,11,0.619835,"[5,0,6,0,0]"
67,14,4,0,"[0,0,4,0,0]"
68,14,7,0.510204,"[5,0,2,0,0]"
69,12,5,0,"[5,0,0,0,0]"
70,10,31,0.150885,"[2,0,29,0,0]"
71,11,15,0.288889,"[2,0,13,0,0]"
72,12,2,0.625,"[1,0,1,0,0]"
73,12,13,0.177515,"[1,0,12,0,0]"
74,13,6,0,"[0,0,6,0,0]"
75,13,7,0.306122,"[1,0,6,0,0]"
76,11,16,0,"[0,0,16,0,0]"
77,7,89,0.645752,"[48,0,39,0,2]"
78,8,69,0.656375,"[31,0,36,0,2]"
79,9,53,0.575828,"[17,0,35,0,1]"
80,10,50,0.539,"[14,0,35,0,1]"
81,11,3,0,"[3,0,0,0,0]"
82,11,47,0.487777,"[11,0,35,0,1]"
83,12,28,0.628189,"[10,0,17,0,1]"
84,13,10,0.225,"[1,0,9,0,0]"
85,13,18,0.686728,"[9,0,8,0,1]"
86,14,2,0,"[2,0,0,0,0]"
87,14,16,0.693359,"[7,0,8,0,1]"
88,15,5,0.4,"[1,0,4,0,0]"
89,15,11,0.702479,"[6,0,4,0,1]"
90,16,9,0.740741,"[4,0,4,0,1]"
